  Ax   Bx   By   Cy   Cx   Dx   Dy   Ay   AQ   AL   BQ   BL   CQ   CL   DQ   DL
  0.   0.  32.  32.   9.   10.  41.  42.  44.   0.   0.  24.  24.  57.  59.  24. 
 31.  31.  10.  10.   0.    0.  41.  41.   6.  10.   0.  20.   6.   0.  10.   6. 
 11.  12.   0.   0.  11.   12.   0.   0.  13.  19.   0.  45.  46.   0.  29.  13. 
 19.  19.  10.  11.   8.    9.   0.   0.  22.  43.  33.  22.  33.   0.   0.  22. 
  7.   7.  14.  15.  27.   27.   5.   6.   0.   1.   1.   0.   0.  52.   1.   6. 
  6.   6.   0.   0.   5.    6.   0.   1.  26.  57.  51.  26.  26.   0.   0.  36. 
  7.   7.   0.   0.   7.    7.   0.   0.  44.   0.  30.  10.  10.  10.   0.  53. 
  8.   8.  12.  12.   0.    0.  20.  20.  45.   5.  51.   0.   0.   5.   5.  18. 
 31.  32.  16.  16.  15.   16.   0.   0.  42.   0.  12.  12.  12.  14.   0.  12. 
  1.   1.   0.   0.   1.    1.   0.   0.  20.  11.  11.   8.   0.  32.  28.   0. 
 10.  11.   3.   4.   3.    4.   3.   4.  44.   0.  10.   8.   8.   0.   0.   8. 
 10.  10.   8.   8.   2.    2.   0.   0.   0.  51.  32.  44.  42.  32.  32.   0. 
 15.  16.  24.  24.   7.    7.   1.   2.  12.   0.  11.  12.  12.   6.   0.  12. 
  0.   0.   2.   2.   0.    0.   2.   2.   2.  10.   0.   2.   5.   0.  49.   2. 
  9.   9.  33.  33.   5.    5.  19.  19.   0.   2.   4.   0.   0.  40.   2.   0. 
  0.   0.  30.  30.   0.    0.  30.  30.   0.  28.  22.  44.  39.  22.  38.   0. 
  0.   0.   6.   6.   4.    4.   2.   2.   0.   0.   0.  12.   0.  17.  20.   0. 
 26.  27.  26.  27.   0.    0.   0.   0.  44.   0.  11.  11.  11.  33.   0.  11. 
  0.   0.  10.  10.   1.    2.   8.   9.  21.   0.   0.  50.  21.  42.  15.  21. 
  0.   0.  18.  18.   1.    1.  17.  17.   0.   1.   1.   0.   0.  27.  39.   0. 
  8.   8.  19.  20.   0.    0.  23.  24.  21.  24.  11.  21.  21.   0.   0.  21. 
 30.  30.   0.   0.  17.   17.  14.  15.   0.  18.   7.   0.   0.   7.   7.  14. 
 23.  23.  20.  20.   0.    0.  21.  21.  41.   1.  12.   0.   0.   1.   1.   0. 
  1.   2.   0.   0.   1.    2.   0.   0.  42.   0.   0.  12.   8.   1.  55.   8. 
  0.   0.  16.  16.  23.   23.  39.  39.   0.  63.   4.   0.  18.   4.   4.   9. 
  8.   8.   2.   2.  25.   26.  15.  15.  24.   0.   0.  24.  32.   0.  48.  24. 
 21.  21.  10.  10.   0.    0.  13.  13.   0.  17.  13.   2.   0.  13.  13.   0. 
  8.   9.  30.  30.  16.   16.   5.   6.   0.  12.  12.  30.   0.  48.  12.   0. 
 13.  13.   0.   0.   3.    3.  10.  10.  60.  29.  29.  20.   0.  29.  46.   0. 
 28.  28.  37.  37.  23.   23.   0.   0.  16.   0.   0.  57.  16.   0.   0.  16. 
  0.   0.  10.  10.   3.    3.  13.  13.   0.   8.   1.   0.  10.   1.  25.   0. 
 10.  10.  21.  21.  37.   37.   6.   6.  20.   0.   0.  20.  20.  37.   0.  48. 
  0.   0.  24.  24.  27.   27.  23.  23.   0.  25.  25.   0.  14.  25.  29.   0. 
 11.  11.  23.  23.   0.    0.  16.  16.  32.   0.   0.  16.   8.   0.   0.   8. 
  0.   0.  18.  19.  13.   13.   5.   6.   0.   0.   0.   2.   0.  46.  42.   0. 
 36.  37.  37.  37.   0.    0.   9.  10.   8.  30.  16.   8.   8.   0.   0.   8. 
 36.  36.   0.   0.  14.   14.  30.  30.  16.   0.   0.  10.  10.   0.   0.  52. 
 25.  25.   0.   0.  18.   19.   6.   7.   8.  16.   0.  37.   8.   0.  11.   8. 
 30.  30.  16.  16.  14.   14.   0.   0.  22.  12.  18.  22.  59.   0.   0.  22. 
 16.  17.  20.  21.   0.    0.  36.  36.  40.   0.  55.   2.   2.   0.   0.   2. 
 14.  15.   5.   5.  19.   20.   0.   0.   0.   7.   7.  41.   0.  25.  57.   0. 
  1.   1.  20.  20.  21.   21.   0.   0.  20.   0.  22.  20.  20.   1.   0.  47. 
  0.   1.  17.  18.  14.   14.   3.   3.   2.   0.   0.  30.   2.  16.   0.   2. 
  0.   0.  29.  29.  10.   10.  19.  19.   7.   0.   6.   7.  41.   0.   0.  12. 
  5.   5.   4.   4.   0.    0.   9.   9.  29.   0.   0.  18.   0.   0.  56.   0. 
  0.   0.   5.   5.  14.   15.  19.  20.  24.  38.   0.  24.  26.   0.   2.  24. 
 17.  18.   0.   0.  17.   18.   0.   0.  24.   0.   0.  13.   1.  14.  31.   1. 
  0.   0.   6.   6.   0.    0.   6.   6.  22.   0.   0.  30.  10.   2.   8.  10. 
  3.   3.   0.   0.   3.    3.   0.   0.  47.   0.   0.  14.  10.  18.   2.  10. 
 49.  49.   0.   0.  20.   20.  40.  41.   7.   8.   0.   7.   7.   0.   0.  33. 
 14.  14.   3.   3.  17.   17.   0.   0.   0.   9.   9.  10.  43.   9.  47.   0. 
