  Ax   Bx   By   Cy   Cx   Dx   Dy   Ay   AQ   AL   BQ   BL   CQ   CL   DQ   DL
  0.   0.  10.  10.   0.    0.  10.  10.   0.  52.  16.  26.  60.  16.  22.   0. 
 15.  16.  23.  24.   2.    2.   6.   6.   5.   0.   0.  49.   5.   7.   0.   5. 
 21.  21.  11.  11.  10.   10.   0.   0.   0.   0.   0.  12.   0.  13.   0.   0. 
 12.  12.  60.  61.  28.   28.  20.  20.   0.  14.  14.  15.   3.  14.  14.   0. 
 37.  38.  13.  13.  30.   31.   0.   0.   0.   4.   8.   0.  23.   4.   4.   0. 
 28.  29.   3.   3.  31.   32.   0.   0.   4.   0.   0.   5.  29.   0.  16.   4. 
 23.  24.   4.   5.   0.    0.  26.  26.   2.  33.  31.   2.   2.   0.   0.   2. 
 15.  15.   0.   0.  15.   15.   0.   0.   0.  27.  47.   0.   0.  57.  27.  36. 
  1.   1.   0.   0.   0.    0.   1.   1.  18.   0.  34.   8.   8.   0.   0.  26. 
 36.  37.   3.   4.  12.   13.  20.  21.  25.  24.  24.  52.   0.  24.  24.   0. 
  0.   0.  35.  35.   2.    3.  37.  38.  56.   0.   0.   8.   8.   9.  24.   8. 
  0.   0.   7.   8.   0.    0.   7.   8.  10.  11.   0.  58.  28.   0.  32.  10. 
 17.  17.   0.   0.  17.   17.   0.   0.   0.  12.  11.  32.  64.  11.  54.   0. 
 18.  19.   1.   1.  15.   15.   3.   3.  53.  12.  28.   0.   0.  12.  12.   0. 
 21.  22.  12.  13.   3.    3.   6.   6.  23.  12.  36.   0.   0.  12.  12.   0. 
 15.  16.  30.  30.   0.    0.  29.  29.  12.   7.   5.  12.  12.   0.   0.  12. 
  0.   0.   2.   2.  21.   21.  23.  23.   2.  11.  11.   0.   0.  22.  48.   0. 
 26.  26.   0.   0.  36.   37.  10.  11.   4.  38.   0.   4.  42.   0.  11.   4. 
  0.   0.  15.  15.   3.    3.  12.  12.   0.   2.   4.   0.   3.   2.   2.   6. 
  8.   8.   6.   6.  10.   10.   0.   0.   4.   0.   0.  50.   4.  36.   0.   4. 
 18.  18.   0.   0.  22.   23.  13.  14.   5.  34.   0.   5.   5.   0.   1.   5. 
  0.   0.   8.   8.  16.   17.  18.  18.   0.  26.  26.   0.  11.  26.  28.   0. 
 17.  18.  34.  35.  52.   52.   0.   0.   0.   7.   7.  45.   0.  22.  32.   0. 
 12.  13.   0.   0.  23.   23.  10.  11.  25.   4.   4.   0.   0.  26.  32.   0. 
 30.  30.  14.  14.   0.    0.  16.  16.  32.   1.   3.   0.   0.   1.   1.   0. 
  3.   3.   0.   0.  23.   23.  20.  20.  15.   0.   0.   1.   1.  14.  12.   1. 
 26.  26.  26.  26.   0.    0.   0.   0.   1.   0.   0.  13.   0.  48.   0.   0. 
 45.  46.  26.  27.   0.    0.  19.  19.   0.  22.  21.   8.   0.  21.  21.   0. 
 15.  15.  32.  33.  26.   26.   0.   0.  36.   0.  24.  36.  36.   0.   0.  36. 
 27.  28.  21.  21.   9.   10.   0.   0.  18.   0.  49.  18.  18.   3.   0.  18. 
 44.  45.   1.   1.   7.    7.  36.  36.  34.   0.  64.  18.  18.   0.   0.  18. 
  0.   0.   4.   4.   4.    4.   8.   8.  14.   5.   0.  14.  54.   0.  46.  14. 
  5.   5.  16.  17.  25.   26.  47.  47.  42.  22.  22.   0.   0.  22.  22.  22. 
 16.  16.  28.  28.  30.   30.   0.   0.  24.   0.  22.  24.  52.   0.   0.  24. 
  7.   8.  32.  33.  10.   11.  14.  15.  18.   0.  54.  18.  27.   0.   0.  18. 
  2.   2.  14.  14.  36.   37.  21.  21.   0.  24.  24.   0.  31.  24.  52.   0. 
 31.  31.   0.   0.  19.   19.  12.  12.   2.   1.  30.   2.   2.   0.   0.   6. 
 34.  34.  15.  15.   5.    5.  14.  14.  14.  53.   0.  32.  14.   0.   0.  14. 
  0.   0.  32.  33.  12.   12.  44.  45.  26.  32.   0.  26.  34.   0.  10.  26. 
 24.  24.   0.   0.  24.   24.   0.   0.   2.  32.   2.   2.  26.   0.   0.  32. 
 16.  17.   7.   7.  28.   29.   5.   5.  12.   0.   0.  12.  12.  36.   6.  12. 
  5.   6.  11.  11.  16.   17.   0.   0.   4.   0.  19.   4.  16.   0.   0.  32. 
 49.  50.  35.  35.   2.    2.  13.  13.  28.  16.   2.  28.  28.   0.   0.  28. 
 19.  20.  53.  54.  15.   16.  18.  19.   0.   0.  38.   0.  20.   0.   0.   0. 
  0.   0.  10.  10.   4.    4.  14.  14.  13.  12.   0.  13.  35.   0.   0.  49. 
 21.  21.   0.   0.  54.   54.  59.  60.   2.  48.   0.   2.   2.   0.   7.   2. 
  0.   0.   6.   7.   0.    0.   6.   7.   6.  19.   0.  35.  25.   0.  48.   6. 
 18.  18.   0.   0.  12.   12.   6.   6.   1.   1.   0.  23.   1.   0.  54.   1. 
 15.  15.   0.   0.  18.   18.   3.   3.   0.  17.   8.   0.  15.   8.   8.  40. 
 17.  17.   1.   1.  25.   25.   7.   7.  24.   0.   0.  24.  24.  19.  32.  24. 
 53.  54.  39.  39.   0.    0.  23.  23.  36.   0.  50.   0.   0.   0.   0.   0. 
  8.   8.  16.  16.   4.    4.   4.   4.   0.   4.  18.   0.  45.   4.   4.   0. 
  0.   0.   5.   5.  18.   18.  23.  23.  38.  28.  28.   0.   0.  28.  28.  23. 
 13.  13.   0.   0.  13.   13.   0.   0.  38.   0.   0.  20.   4.  26.  22.   4. 
  6.   6.   0.   0.  26.   27.  20.  21.   6.   6.   6.   0.   0.  14.   6.  32. 
  0.   0.  11.  11.   7.    7.   4.   4.  23.   0.   2.  23.  23.  43.   0.  46. 
  8.   8.   4.   4.   4.    4.   0.   0.   0.  13.   2.  12.   2.   2.   2.   0. 
 19.  19.  11.  11.   0.    0.  30.  30.  17.   0.   0.  50.  14.   0.  40.  14. 
  0.   0.  14.  15.   0.    0.  14.  15.   0.   7.  22.   0.  26.   6.   6.  58. 
 12.  12.   1.   2.  13.   14.   0.   0.   0.  14.  32.   0.  22.  14.  14.   3. 
  0.   0.   7.   7.  11.   12.  18.  19.   0.  32.  14.   0.  52.  14.  14.  11. 
 19.  20.   0.   0.  19.   20.   0.   0.  31.   0.  23.  29.  29.   4.   0.  32. 
 26.  26.  35.  35.   0.    0.  31.  31.   0.  31.   7.  19.   0.   7.   7.   0. 
  5.   6.   0.   0.  13.   13.   7.   8.  31.   0.   0.   7.   7.  13.   0.   8. 
 60.  61.   0.   0.  30.   31.  40.  40.  12.  12.  12.   0.   0.  12.  12.   1. 
  4.   4.   0.   0.   4.    4.   0.   0.  14.  18.  18.  31.   0.  25.  18.   0. 
 40.  41.  33.  34.   7.    7.   0.   0.   0.  16.  16.   3.  17.  16.  16.   0. 
  4.   4.  39.  40.  34.   34.   1.   2.   0.   0.   0.  42.  12.   0.   0.   0. 
 10.  11.  38.  39.   0.    0.  28.  28.   2.  19.  22.   2.   6.   0.   0.   2. 
  0.   0.   3.   3.   0.    0.   3.   3.   6.   4.  30.   0.   0.  16.   4.  38. 
 18.  18.  20.  20.  60.   61.  22.  23.  10.   0.   0.  10.  20.   0.  61.  10. 
  0.   0.  26.  26.   9.    9.  17.  17.   6.   0.   0.  12.   6.  46.  24.   6. 
  6.   7.  16.  16.   0.    0.   9.  10.  32.   0.  13.   4.   4.   4.   0.   4. 
 26.  26.   0.   0.  26.   26.  46.  47.  22.   0.   0.  18.  18.   0.  10.  18. 
  2.   2.   1.   1.  12.   12.   9.   9.   0.  16.  16.   0.  50.  16.  28.   0. 
  0.   0.  13.  13.   0.    0.  13.  13.  16.   5.  14.   0.   0.  30.   5.  44. 
 34.  34.  22.  22.  56.   56.   0.   0.   7.   0.  32.   7.   7.  21.   0.  42. 
 11.  11.   0.   0.  42.   42.  31.  31.   0.  34.   3.   0.  46.   3.  44.   0. 
  5.   6.   0.   0.   5.    6.   0.   0.   1.  10.  10.  26.   0.  22.  60.   0. 
 14.  14.  39.  40.  10.   10.  15.  16.   0.  11.  11.  19.   1.  11.  11.   0. 
  9.   9.   0.   0.   9.    9.   0.   0.   0.  38.   8.   0.  10.   4.   4.  47. 
 31.  31.  23.  23.   0.    0.  46.  46.  25.  20.  20.  30.   0.  20.  20.   0. 
 31.  31.  16.  16.   0.    1.  14.  15.  24.  41.   0.  44.  24.   0.   0.  24. 
 21.  21.   8.   8.   0.    0.  29.  29.   8.   1.   1.  18.   0.   1.  11.   0. 
  0.   0.  13.  13.  14.   14.  27.  27.  20.  20.   0.  20.  25.   0.  29.  20. 
 20.  21.  29.  29.   0.    0.   8.   9.   0.  34.  18.  24.   9.  18.  18.   0. 
 19.  19.  20.  20.  46.   47.   8.   8.   0.  42.  42.   0.   0.  42.  42.  56. 
  0.   0.  14.  15.  19.   20.  26.  26.   0.  13.  13.   0.  44.  13.  13.   0. 
 10.  11.  30.  31.   3.    3.  17.  17.   0.  12.  12.  29.  18.  12.  12.   0. 
 15.  16.   0.   0.  15.   16.   0.   0.  48.   0.   0.  26.   6.  39.  40.   6. 
  0.   0.  38.  38.  26.   27.  41.  41.  24.   0.   0.  24.  24.  13.  54.  24. 
 18.  19.   5.   5.   1.    1.  13.  13.   3.  48.   0.  25.   3.   0.   0.   3. 
 17.  17.   0.   0.  17.   17.   0.   0.   7.  32.  38.   7.  10.   0.   0.  12. 
 11.  12.  14.  14.   0.    0.   2.   3.  50.   0.  56.  18.  18.  37.   0.  18. 
  0.   0.  20.  20.  19.   20.  20.  21.  18.   0.   0.  18.  18.   7.  13.  18. 
 11.  12.   0.   0.  24.   25.  13.  13.  28.  15.   0.  28.  28.   0.   0.  58. 
 29.  29.   0.   0.  23.   23.   6.   6.   6.   1.   7.   0.   0.   1.   1.  44. 
 36.  36.   0.   0.  26.   26.  10.  10.  36.  21.  48.   0.   0.  21.  21.  12. 
 10.  10.  34.  34.  54.   55.  10.  11.   4.   0.   0.   4.  36.   0.   4.   4. 
  9.   9.   9.  10.   8.    8.   0.   0.   0.  14.  14.   0.  10.  14.  14.   0. 
 25.  25.  20.  20.  33.   33.   0.   0.  10.   0.  11.  10.  38.   0.   0.  10. 
 11.  11.  28.  28.  12.   12.   5.   5.   0.  10.  10.  11.  24.  10.  10.   0. 
  0.   0.   4.   5.   2.    3.   2.   2.   0.  20.  40.   0.  12.  20.  20.  48. 
 17.  18.   5.   6.  37.   38.  14.  15.  10.   0.   0.  10.  38.   0.   0.  15. 
 22.  22.   8.   9.  13.   14.   0.   0.  12.  14.  14.  17.   0.  22.  14.   0. 
 26.  26.  25.  25.   7.    7.   0.   0.   0.  20.  24.   0.  26.  20.  20.   0. 
  0.   0.  23.  23.  13.   14.  18.  19.  26.   0.   0.  26.  26.   0.  23.  26. 
  9.   9.   6.   6.   3.    3.   0.   0.  36.  30.  30.  53.   0.  47.  30.   0. 
  4.   5.   6.   7.   2.    2.  13.  13.  19.  58.   0.  19.  19.   0.   0.  40. 
  1.   1.  10.  10.   0.    0.   9.   9.   5.   6.   0.  33.  20.   0.   0.   5. 
 15.  16.   0.   0.  15.   16.   4.   4.  33.   0.   0.   8.   8.   0.   0.  17. 
  4.   5.  15.  15.  19.   20.   0.   0.   0.  15.  15.   2.   3.  15.  29.   0. 
 26.  26.   0.   0.  16.   16.  14.  15.   0.  36.  17.   0.   0.  17.  17.  25. 
  7.   7.  16.  16.   9.    9.  31.  32.  30.   0.   0.  16.  16.   0.  35.  16. 
  7.   7.   8.   8.   0.    0.  15.  15.   7.  64.  12.   7.   7.   0.   0.  13. 
 41.  41.   0.   0.  34.   34.   7.   7.   0.  22.  21.   0.   0.  11.  11.  19. 
  0.   0.  21.  22.   0.    0.  21.  22.  50.   0.   0.  41.  23.  38.  15.  23. 
  8.   8.   8.   8.   0.    0.   8.   8.  19.  51.   0.  19.  19.   0.   0.  19. 
  0.   0.  17.  18.   2.    2.  15.  16.   4.   0.  13.   4.   4.  42.   0.  34. 
  3.   3.  10.  11.   0.    0.   7.   8.   0.  30.   8.  35.   6.   8.   8.   0. 
 17.  17.  11.  11.   6.    6.   0.   0.   0.  50.  11.  31.  24.  11.  11.   0. 
  6.   6.  18.  18.   0.    0.  12.  12.  11.  16.   0.  18.  12.   0.   0.  11. 
  0.   0.  15.  16.   6.    7.   9.   9.  24.   0.  17.  24.  24.  61.   0.  50. 
  0.   0.   9.   9.   9.    9.  18.  18.  23.  22.   0.  23.  36.   0.  27.  23. 
 10.  10.   0.   0.  12.   12.  19.  20.  12.   6.   0.  12.  12.   0.   0.  21. 
  0.   0.  19.  19.   0.    0.  19.  19.   0.  40.  11.  14.   3.  11.  25.   0. 
 37.  37.  13.  13.   0.    0.  36.  36.  38.   0.  20.  22.  22.   0.   0.  22. 
 12.  13.  16.  16.  12.   13.   0.   0.   0.  38.  38.  37.  36.  38.  38.   0. 
  0.   0.  23.  23.  15.   15.  38.  38.  16.   2.   2.   0.   0.  11.   2.   4. 
  2.   3.   0.   0.   2.    3.   0.   0.   5.  13.  36.   0.   0.  30.  13.  34. 
 29.  29.  39.  39.  10.   10.   0.   0.   0.   6.  24.   0.  30.   6.   6.   0. 
 26.  26.   0.   0.  26.   26.   0.   0.   0.  44.  18.   0.   8.   9.   9.   4. 
 54.  54.   5.   6.  39.   39.   9.  10.  22.  47.   0.  30.  22.   0.   0.  22. 
  8.   8.  52.  52.  27.   27.  17.  17.   0.   7.  26.   0.   3.   7.   7.   0. 
  7.   7.  18.  19.   0.    0.  25.  26.  33.  20.  24.   0.   0.  20.  20.   7. 
  0.   0.  12.  12.  24.   25.  18.  18.   0.   9.   9.   0.   0.  27.  21.   0. 
 60.  60.  21.  22.  20.   20.  18.  19.  11.  17.  17.   5.   0.  17.  17.   0. 
 13.  13.  19.  19.  32.   32.   0.   0.   0.  18.  18.  44.   8.  18.  44.   0. 
  0.   0.   4.   4.  16.   16.  12.  12.   0.   4.   4.   0.   0.  16.   4.  20. 
 18.  18.   0.   0.   0.    0.  18.  18.   0.  17.  36.   0.   0.   0.   0.  28. 
