  Ax   Bx   By   Cy   Cx   Dx   Dy   Ay   AQ   AL   BQ   BL   CQ   CL   DQ   DL
 16.  16.   0.   0.   3.    3.  13.  13.  38.   0.   0.  17.  14.   0.  60.  14. 
 33.  33.  17.  17.  16.   16.   0.   0.  15.  18.  11.  15.  17.   0.   0.  15. 
 19.  19.   0.   0.  19.   19.   0.   0.  43.   4.   4.  12.   0.  56.  28.   0. 
 11.  11.   2.   3.  13.   14.   0.   0.   0.  22.  22.   0.  33.  22.  29.   0. 
 19.  19.  17.  17.   0.    0.  16.  16.   6.   4.   0.   8.   6.   0.   0.   6. 
 16.  16.   0.   0.  32.   32.  48.  49.   7.   6.   0.   7.   7.   0.   0.  15. 
 12.  13.  33.  33.   0.    0.  45.  46.  12.   9.   1.  12.  12.   0.   0.  28. 
  0.   0.  14.  14.  12.   13.  11.  11.   8.   0.   0.   8.  20.   0.  12.   8. 
  4.   4.   0.   0.   0.    1.   3.   4.  20.  62.   0.  36.  20.   0.  19.  20. 
 29.  29.  18.  18.  11.   11.   0.   0.   0.  31.  19.   1.  36.  19.  19.   0. 
 16.  16.  12.  12.   4.    4.   0.   0.   4.  27.   0.   6.  22.   0.   0.   4. 
 11.  11.  12.  12.  28.   28.  51.  52.   2.   7.   0.   2.   2.   0.   0.  20. 
  0.   0.  23.  23.  12.   13.  35.  36.   2.  12.   0.   2.   8.   0.   0.  48. 
  3.   3.   0.   0.   3.    3.   0.   0.  10.  34.   0.  28.  10.   0.  28.  10. 
 38.  38.  21.  21.  17.   17.   0.   0.  18.   6.   6.  20.   0.  43.   6.   0. 
  8.   8.   0.   0.  27.   27.  19.  19.   2.  10.   0.   2.  24.   0.  34.   2. 
 20.  21.   9.   9.   0.    0.  20.  20.  17.  27.   6.  17.  17.   0.   0.  17. 
 28.  29.  11.  11.   0.    0.  39.  40.   5.   4.   4.  18.   0.   4.  12.   0. 
  6.   7.   0.   0.  30.   30.  23.  24.  19.  24.  24.   0.   0.  39.  46.   0. 
  2.   2.   4.   4.   4.    4.   0.   0.  13.   0.  59.  13.  40.   0.   0.  13. 
 35.  35.  27.  27.   8.    8.   0.   0.   0.  27.  30.   0.  36.  10.  10.   0. 
 14.  14.  10.  10.  12.   12.  36.  36.  37.   4.   4.   0.   0.   4.  22.   0. 
  1.   2.  10.  11.   0.    0.  12.  12.  45.  10.  14.   0.   0.  10.  10.  22. 
