  Ax   Bx   By   Cy   Cx   Dx   Dy   Ay   AQ   AL   BQ   BL   CQ   CL   DQ   DL
  3.   3.   0.   0.   3.    3.   0.   0.   0.  23.  23.  28.   0.  30.  34.   0. 
 16.  16.  19.  19.   0.    0.  11.  11.   0.  14.   8.   0.   0.   0.   0.   0. 
  8.   9.   1.   1.   7.    8.   0.   0.  17.   3.  41.   0.   0.  11.   3.   0. 
  0.   0.  14.  15.  28.   28.  13.  14.  12.   0.   0.  12.  12.   0.   0.  12. 
  5.   5.   0.   0.   5.    5.   0.   0.  10.   0.   0.  28.  48.   0.   4.  10. 
  6.   6.   0.   0.   6.    6.   0.   0.  11.   0.  42.  11.  11.   2.   0.  17. 
  9.   9.   0.   0.   0.    1.   8.   9.  15.  27.  34.   0.   0.  27.  27.  28. 
  0.   0.  19.  19.  15.   16.  14.  14.   2.   0.   0.   2.   2.  16.   3.   2. 
  0.   0.   0.   0.   0.    0.   0.   0.  33.   0.   0.  31.   0.  21.  14.   0. 
  0.   0.   0.   0.   0.    0.   0.   0.   5.   0.  13.   5.   5.   0.   0.   5. 
  0.   0.   0.   0.   6.    6.   6.   6.   0.  14.   0.   0.  38.   0.   0.  21. 
  4.   4.  10.  11.  32.   33.  18.  18.   0.   0.   0.   0.   0.  17.   4.   0. 
  0.   0.  17.  18.  17.   18.   0.   0.   0.   4.   4.  21.   0.   4.  36.   0. 
 24.  24.  28.  29.   4.    5.   0.   0.   0.   9.  25.   0.   0.  20.   9.   0. 
 17.  17.   0.   0.  13.   13.   4.   4.  14.   0.  20.   0.   0.   0.   0.   0. 
  0.   0.  14.  15.   0.    0.  14.  15.   0.   0.   2.   0.   0.  38.   0.  27. 
 38.  38.  10.  10.  17.   17.  11.  11.  28.  18.  38.   0.   0.  18.  18.   0. 
  0.   0.  27.  27.  27.   27.   0.   0.   0.  16.  34.   0.  37.  16.  16.  18. 
 18.  18.   0.   0.   8.    8.  25.  26.  22.   0.   0.   0.   0.   0.   0.  20. 
  0.   0.   0.   0.   0.    0.   0.   0.   0.  12.  12.  17.  25.  12.  14.   0. 
 41.  41.  31.  31.  10.   10.   0.   0.   4.   0.   0.  16.   0.   8.   0.   0. 
  8.   8.  23.  23.   0.    0.  15.  15.   0.   0.   0.   0.   0.   0.   0.   0. 
  0.   0.   0.   0.   0.    0.   0.   0.   4.   0.   0.  21.   4.  32.   0.   4. 
  0.   0.   8.   9.   7.    7.  15.  16.  12.   0.   0.   7.   7.   3.  14.   7. 
  5.   5.   0.   0.   5.    5.   0.   0.  20.   0.   0.   8.   4.  12.  10.   4. 
  3.   4.  13.  13.   0.    0.  13.  13.   0.  24.   5.  35.   0.   5.   5.   0. 
  0.   0.   4.   4.   0.    0.   4.   4.  10.   0.   0.  10.  10.  25.   0.  10. 
 29.  30.   0.   0.  12.   12.  28.  29.  16.   0.   0.  16.  16.   0.   0.  16. 
  8.   8.   0.   0.  15.   15.   7.   7.   5.  20.   0.   5.   8.   0.   5.   5. 
  0.   0.   0.   0.   0.    0.   0.   0.   5.   0.   0.  26.  18.   0.  26.   5. 
 30.  30.   0.   0.  19.   19.  35.  35.   0.  31.  31.   0.   0.  31.  31.   0. 
 42.  42.  14.  14.   0.    0.  34.  34.   6.   0.   0.   6.   6.   0.   0.   6. 
  1.   1.   5.   6.   0.    0.   4.   5.  31.   0.  12.  27.  27.  38.   0.  27. 
  7.   7.   0.   0.   8.    8.   1.   1.   0.  14.   0.   0.  38.   0.   3.   0. 
  8.   9.   0.   1.   8.    8.   0.   0.   0.  16.  16.   0.   0.  16.  16.   0. 
  4.   4.   4.   4.   0.    0.   0.   0.   9.  14.   0.  13.  16.   0.   0.   9. 
  0.   0.  45.  45.  18.   18.  27.  27.   0.   0.  46.   0.  26.   0.   0.  20. 
  6.   6.   0.   0.   7.    7.  13.  13.   3.  15.   0.   3.   3.   0.  36.   3. 
  5.   5.   0.   0.   5.    5.   0.   0.   0.  25.  24.   0.  42.  11.  11.   0. 
  2.   3.   0.   0.   2.    3.   0.   0.   0.  14.  14.   0.   0.  22.  19.   0. 
  0.   0.   3.   3.   0.    0.   3.   3.   8.   6.   6.   6.   0.  32.   6.   0. 
