  Ax   Bx   By   Cy   Cx   Dx   Dy   Ay   AQ   AL   BQ   BL   CQ   CL   DQ   DL
  0.   0.   1.   2.   0.    0.   1.   2.   6.  18.  35.   6.  40.   0.   0.  15. 
  0.   0.  33.  33.  32.   33.   0.   1.   0.   2.   2.  49.   0.  26.   4.   0. 
 12.  13.  12.  13.   0.    0.  25.  25.   0.  31.  16.   0.   0.  13.  13.  44. 
  8.   8.   4.   4.  12.   12.   0.   0.  13.   0.  20.  13.  13.  34.   0.  53. 
  5.   5.  17.  18.  17.   18.   0.   0.   0.  27.  27.   2.  55.  27.  27.   0. 
  1.   1.  27.  27.   0.    0.  28.  28.   0.  48.  42.   0.   0.   6.   6.  16. 
 33.  34.  24.  25.  19.   19.   0.   0.  22.   0.  16.  22.  34.   0.   0.  22. 
 25.  26.   0.   0.   1.    1.  24.  25.   0.  32.   6.  18.   0.   6.  30.   0. 
  3.   3.   6.   6.   0.    0.   9.   9.  22.  14.  49.   0.   0.  14.  14.  64. 
  8.   9.   1.   1.   9.   10.   0.   0.  12.   0.  26.  12.  22.   0.   0.  28. 
  0.   0.   9.   9.  10.   10.  15.  15.   0.   5.   5.   0.   0.  15.   9.   0. 
  0.   0.  15.  15.   1.    1.  16.  16.   0.  31.  15.   0.   9.  15.  15.  15. 
  0.   0.  29.  29.   4.    4.  29.  29.   4.   0.   0.   4.   4.  22.  20.   4. 
  8.   9.  14.  14.   3.    4.   2.   2.   0.  16.  16.  60.  42.  16.  16.   0. 
 14.  15.   8.   9.   5.    5.   1.   1.  16.   0.   6.  13.  13.   0.   0.  13. 
  4.   5.   6.   6.   0.    0.  10.  11.   9.  21.  32.   0.   0.  21.  21.  28. 
 36.  37.   0.   1.  44.   44.   7.   7.  16.   0.   0.  16.  24.   0.  12.  16. 
 25.  25.   2.   3.  22.   23.   0.   0.   3.   2.  34.   0.   0.  10.   2.   0. 
 14.  15.   0.   0.  21.   21.   6.   7.  29.  20.  20.   0.   0.  60.  20.  39. 
  4.   4.  34.  34.   0.    0.  30.  30.  64.   0.  55.  38.  38.  38.   0.  38. 
  9.  10.  16.  17.  26.   27.   0.   1.   0.  30.  30.   0.   0.  40.  30.  38. 
