  frez       Ax       Bx       By       Cy       Cx      Dx        Dy       Ay
2914.126    2.395    2.257   -2.284   -2.247   -2.134   -2.063    2.172    2.434 
3069.223    0.411   -0.131    3.231    3.897   -1.212   -0.362    2.439    2.792 
3076.101    2.622    2.330    0.403   -0.186    4.024    3.313    0.742    1.069 
3108.628   -2.778   -3.208   -0.985   -2.010    1.581    1.002    2.947    2.523 
3155.496    1.072   -0.935    3.966   -3.007    1.505   -2.765   -1.757    1.292 
3161.030    2.021   -2.665   -2.525    1.813    0.448   -0.095   -3.374    3.025 
3173.263   -3.005    2.776   -1.270    1.664    2.970   -3.193   -0.604    1.188 
3177.928    2.598   -2.262   -0.966    1.290    2.291   -2.755    2.626   -2.807 
2914.690    2.219    2.498   -2.566   -2.332   -2.092   -2.080    2.090    2.072 
3075.811    1.111    1.803   -2.923   -2.215    2.006    2.028   -2.782   -2.764 
3084.396    2.911    3.147    1.955    2.278    2.355    2.263    1.349    1.347 
3117.765   -1.913   -1.866   -1.778   -1.889    2.725    2.576    2.571    2.698 
3155.795   -2.751    1.900   -3.567    4.148   -0.361   -0.077   -0.107    0.461 
3170.000   -3.922    3.802    2.509   -2.274   -0.167    0.043   -0.526    0.532 
3180.356   -0.639    0.512    0.048   -0.040   -0.511    0.580    4.565   -4.475 
3181.749    0.245   -0.215    0.049   -0.070   -4.482    4.628   -0.467    0.572 
2921.869   -2.307   -2.370    2.315    2.318    2.276    2.211   -2.128   -2.130 
3081.800    3.271    3.407    0.256    0.519    3.161    3.001   -0.015   -0.007 
3088.610    0.141   -0.008    3.348    3.334   -0.419   -0.544    3.079    3.085 
3119.992   -1.999   -2.021   -2.033   -1.990    2.475    2.422    2.616    2.620 
3169.048    4.578   -4.400    0.725   -0.860    0.280   -0.187    0.213   -0.298 
3173.646   -0.594    0.762    4.232   -4.172   -1.531    1.781    0.332   -0.277 
3177.239    0.490   -0.480   -1.574    1.679   -4.199    4.286    0.426   -0.361 
3186.180   -0.256    0.240   -0.187    0.183    0.452   -0.476    4.566   -4.562 
2904.935   -2.116   -2.131    2.528    2.528    2.237    2.171   -2.069   -2.125 
3059.643    1.038    0.976    3.467    3.331   -0.330   -0.328    2.777    2.820 
3073.712    2.700    2.850   -0.725   -0.506    3.558    3.531    0.186    0.160 
3103.664    2.518    2.922    1.521    1.238   -1.607   -1.852   -3.041   -2.736 
3135.994    0.148   -0.083   -4.404    4.626    0.016   -0.311   -0.180    0.079 
3159.339    0.419   -0.586    0.136   -0.283    4.253   -4.143   -1.583    1.792 
3167.846    1.906   -1.891    0.077   -0.099   -1.684    1.808   -3.809    3.731 
3170.444   -4.319    3.927   -0.101    0.027   -0.241    0.346   -1.790    2.101 
2916.968   -2.382   -2.372    2.198    2.221    2.330    2.309   -2.093   -2.112 
3068.044    3.102    3.177    0.032   -0.238    3.406    3.144   -0.053   -0.048 
3084.296    0.674    0.767    3.555    3.848   -0.710   -0.330    2.497    2.510 
3109.235    1.999    2.241    1.279    1.546   -2.219   -1.823   -3.220   -3.158 
3157.481    4.560   -4.380   -0.809    0.878   -0.230    0.260   -0.020   -0.095 
3158.460   -0.506    0.428   -1.480    0.939   -4.087    4.609    0.268   -0.198 
3172.109    0.727   -0.749    4.433   -4.192   -1.382    1.158    0.386   -0.427 
3184.562    0.052   -0.104    0.303   -0.329   -0.314    0.360   -4.558    4.585 
2919.518    2.320    2.350   -2.177   -2.156   -2.369   -2.388    2.145    2.127 
3068.582    2.862    2.902   -0.561   -0.844    3.523    3.346    0.038   -0.091 
3088.144    0.571    0.550    3.174    3.491   -0.051    0.551    3.148    2.946 
