  frez       Ax       Bx       By       Cy       Cx      Dx        Dy       Ay
2922.045    2.324    2.332   -2.157   -2.160   -2.344   -2.383    2.196    2.159 
3074.997    3.186    3.358    0.144   -0.032    3.151    3.175   -0.043    0.031 
3091.398    0.084    0.276    3.520    3.413   -0.235   -0.258    3.014    2.926 
3115.209   -1.917   -2.294   -2.112   -1.944    2.313    2.148    2.718    2.685 
3165.029   -2.371    2.147   -0.151   -0.078   -3.927    3.999   -0.077    0.248 
3165.714    4.016   -3.728   -0.838    1.109   -2.229    2.190    0.096   -0.118 
3182.250   -0.664    0.812   -4.195    4.315    0.526   -0.505   -1.470    1.476 
3184.813    0.388   -0.472    1.424   -1.414   -0.117    0.036   -4.299    4.398 
2909.695    1.992    2.024   -2.123   -2.234   -2.385   -2.598    2.445    2.099 
3072.024   -2.176   -2.219    2.580    2.653   -1.694   -2.735    2.343    1.448 
3082.299    2.247    2.255    1.745    2.217    2.633    2.039    2.558    2.429 
3117.326   -2.696   -2.533   -2.095   -2.366    2.115    1.778    2.304    2.275 
3151.852    0.410   -0.064   -0.826    0.044    4.259   -3.819    1.203   -2.516 
3170.220    0.650   -0.311    4.308   -3.998   -0.217    0.603    1.749   -1.825 
3174.670    0.869   -0.957   -1.979    1.714   -1.770    2.110    3.544   -3.651 
3181.747   -4.420    4.513    0.079   -0.015   -0.200    0.255    0.935   -1.129 
2913.172    2.435    2.387   -2.307   -2.090   -2.029   -2.094    2.201    2.416 
3076.945    0.879    1.709   -3.087   -2.610    1.129    1.103   -2.887   -3.252 
3081.698    3.113    2.455    1.230    1.341    3.088    3.245    0.733    1.401 
3117.755   -2.537   -2.018   -2.267   -2.562    2.337    2.242    2.088    2.171 
3159.548    3.360   -3.755    1.089   -2.099    0.407   -0.558   -2.625    1.781 
3168.062    1.572   -1.119    2.001   -2.161    0.724   -0.465    3.879   -3.690 
3176.475    1.970   -2.459   -2.826    2.447   -2.764    2.835    1.153   -1.069 
3181.460    0.911   -1.187   -2.622    2.688    3.629   -3.473    0.591   -0.475 
2916.582   -2.306   -2.520    2.391    2.178    2.112    2.068   -2.181   -2.235 
3079.713   -1.517   -2.376    2.608    1.857   -1.598   -1.550    3.051    3.008 
3081.642    2.508    2.674    1.863    1.951    2.696    2.798    1.754    1.653 
3117.128    1.970    2.084    2.822    2.342   -2.305   -2.719   -2.144   -1.671 
3162.643    4.586   -3.866    1.197   -1.897    0.386    0.051   -0.667    0.207 
3169.761   -0.262   -0.057   -1.051    1.008    1.551   -1.264   -4.039    4.400 
3176.498    1.646   -1.644   -3.844    4.413    0.031   -0.458    1.012   -1.069 
3182.524   -0.246    0.191    0.400   -0.601    4.448   -4.260    1.444   -1.244 
2919.259   -2.162   -2.284    2.372    2.240    2.138    2.259   -2.346   -2.237 
3071.754   -1.140   -0.940    3.229    3.007   -1.431   -1.383    2.807    2.798 
3082.619    3.137    3.725    1.973    1.308    2.372    2.416    0.644    0.602 
3108.544    1.628    1.674    1.623    1.665   -3.115   -2.580   -2.376   -2.947 
3159.500    0.832   -0.416   -4.027    4.436   -1.223    1.659   -0.359    0.656 
3163.682    2.933   -2.792   -0.188    0.351    1.080   -0.696    3.577   -3.267 
3174.675    3.732   -3.259    1.126   -0.925   -0.603    0.422   -2.693    2.732 
3179.800   -0.202   -0.138    1.034   -1.522   -4.096    4.343    1.395   -1.044 
2919.999   -2.237   -2.237    2.213    2.129    2.160    2.380   -2.404   -2.275 
3078.187   -2.332   -2.342    2.317    2.338   -2.102   -2.442    2.359    1.946 
3083.815    2.407    2.777    3.036    2.404    1.779    1.847    1.687    1.921 
3114.929   -1.643   -2.035   -1.850   -1.648    2.862    2.432    2.467    2.923 
3165.623    1.033   -0.947   -2.199    2.563   -2.924    2.590   -2.403    2.701 
3168.648   -3.994    3.425    1.348   -1.798   -1.080    0.770   -1.853    1.972 
3176.089   -2.331    2.415   -2.906    2.910   -0.422    0.951    2.633   -2.404 
3181.814    0.538   -0.840    1.869   -2.248   -3.389    3.527    2.279   -1.875 
2911.617   -2.361   -2.421    2.347    2.289    2.020    2.065   -2.250   -2.217 
3066.109    1.012    1.621    3.792    3.229    0.280    0.299    2.459    2.543 
3067.727   -3.458   -3.543   -0.065    0.255   -2.056   -2.095    1.831    2.141 
3106.327   -0.789   -0.720   -1.740   -1.492    3.580    3.419    2.033    2.569 
3144.791    4.233   -3.891   -1.398    1.986    0.059    0.115    1.260   -0.801 
3154.636   -1.233    1.632   -3.914    4.322   -0.504    0.426   -1.291    1.078 
3163.910   -1.566    1.230   -0.825    0.692    0.148    0.104    4.425   -4.116 
3182.794    0.073   -0.156    0.354   -0.503   -4.522    4.615    0.204   -0.065 
2922.296   -2.137   -2.168    2.230    2.206    2.187    2.395   -2.463   -2.258 
3080.393    1.394    1.355   -3.068   -3.030    1.106    1.551   -3.028   -2.531 
3090.272    2.970    3.167    1.539    1.350    2.680    2.887    1.180    1.382 
3119.384   -2.141   -2.269   -2.134   -2.070    2.506    2.364    2.307    2.464 
3168.411   -0.619    0.416   -0.928    1.172   -2.532    1.981   -3.543    4.015 
3174.394    1.394   -1.205   -4.108    4.207   -0.461    0.652    1.302   -1.299 
3181.608   -0.618    0.406    0.969   -1.077   -3.935    3.869    2.237   -2.019 
3182.955    4.399   -4.285    1.312   -1.179   -0.617    0.513   -0.533    0.651 
2924.539   -2.283   -2.211    2.212    2.294    2.333    2.264   -2.208   -2.275 
3075.180    2.164    2.130    1.262    1.133    2.846    3.326    2.540    1.908 
3084.211    1.185    1.165   -2.828   -3.483    2.395    1.697   -2.279   -2.218 
3110.165    2.976    3.246    1.904    2.145   -0.923   -1.444   -2.789   -1.809 
3159.880   -0.045   -0.417    1.207   -0.832    4.074   -3.740   -1.394    2.597 
3171.325   -2.210    2.201    3.931   -3.464   -0.360   -0.201    1.444   -1.568 
3180.615    0.020   -0.267    1.477   -1.606   -2.105    2.495   -3.528    3.764 
3180.857    4.098   -3.926    2.156   -1.713   -0.340   -0.072    0.866   -1.219 
2910.733    2.135    2.121   -2.037   -2.058   -2.400   -2.588    2.393    2.198 
3065.041   -2.774   -2.782    1.215    1.622   -3.270   -3.277    0.419    0.008 
3080.958    0.601    0.587    2.879    3.127    1.086    0.967    3.397    3.029 
3107.436    2.768    2.874    1.998    2.613   -2.090   -0.923   -2.368   -1.985 
3143.780   -0.412   -0.298   -1.008    0.313   -4.194    4.512   -0.401    1.297 
3167.575   -0.295    0.067    0.199    0.020    0.738   -1.026   -4.248    4.694 
3170.529    4.452   -4.421   -1.140    1.058    0.179   -0.111   -0.196    0.152 
3177.541    1.138   -1.075    4.653   -4.109   -0.893    0.491   -0.080    0.080 
2918.777    2.193    2.210   -2.138   -2.177   -2.411   -2.385    2.269    2.250 
3073.685    3.261    2.980   -0.419   -0.335    3.214    3.338    0.338   -0.132 
3079.815   -0.846   -0.441    2.341    2.444    0.703    0.858    3.669    3.799 
3110.698    2.665    2.033    3.119    3.294   -1.682   -2.014   -1.039   -1.375 
3157.259    0.496   -0.728    0.119   -0.036   -4.203    3.921    1.928   -1.995 
3163.488   -2.020    2.780    0.043    0.237   -1.986    1.952   -3.574    3.050 
3174.815    3.719   -3.921   -0.377    0.266   -0.522    0.681   -2.268    2.583 
3182.335    0.271   -0.148    4.677   -4.479    0.015    0.035   -0.253    0.286 
2915.408   -2.261   -2.180    2.318    2.452    2.257    2.127   -2.166   -2.249 
3068.066    1.876    2.089    3.071    2.955    1.269    1.134    2.457    2.499 
3085.067   -2.748   -2.824    1.533    1.552   -2.817   -2.765    1.713    1.711 
3108.713   -1.616   -2.328   -2.256   -1.343    2.416    2.718    2.779    2.378 
3153.842    1.838   -1.250   -3.896    4.318    0.601   -1.163   -0.869    0.437 
3168.427    1.491   -1.780    1.412   -1.575    1.651   -1.326   -3.604    3.803 
3171.741   -4.116    3.729   -1.187    0.715    1.629   -1.419   -1.305    1.665 
3177.872    0.539   -0.596    0.630   -0.808    3.934   -3.976    2.186   -2.075 
2911.776   -2.104   -2.182    2.192    2.433    2.546    2.321   -2.122   -2.046 
3070.812    3.014    3.046   -0.060    0.610    3.426    2.958    1.154    0.857 
3079.919   -0.732   -0.709    2.675    3.245   -0.488   -0.841    3.416    3.195 
3110.720   -2.693   -2.301   -2.109   -2.821    1.721    2.206    2.171    2.020 
3152.227    0.433    0.135    1.706   -0.782   -4.165    4.431    0.576   -0.550 
3167.451    3.497   -3.483    2.003   -1.928    0.999   -0.915    2.026   -1.935 
3171.984   -1.084    1.661    4.234   -3.429    0.995   -0.782   -1.746    1.913 
3177.074    2.595   -2.624   -0.759    0.591   -0.465    0.707   -3.445    3.860 
2906.657   -2.366   -2.534    2.263    2.028    2.170    2.275   -2.154   -2.133 
3057.757    2.741    2.971   -0.578   -0.314    3.141    3.764    0.014   -0.346 
3073.567   -0.239   -0.717    2.474    2.123    0.394    1.255    4.082    3.413 
3101.965    2.857    2.016    3.170    3.267   -1.337   -1.850   -1.509   -0.992 
3145.712   -4.143    4.179   -0.690    1.661   -1.529    0.997   -0.093    0.005 
3149.602   -1.290    1.296    0.489   -0.182    4.433   -3.475   -1.148    2.161 
3164.927    0.553   -0.707   -0.576    0.371   -1.407    1.702   -4.001    4.418 
3176.515    0.767   -1.207   -4.343    4.416    0.916   -0.701    0.493   -0.212 
2905.802   -2.474   -2.498    2.359    2.188    1.978    1.942   -2.129   -2.319 
3069.049    1.503    0.730    3.409    3.045    0.903    0.875    2.600    3.037 
3074.399    2.992    3.481   -0.596   -0.074    2.685    2.650   -1.760   -1.626 
3111.821   -1.452   -1.664   -2.389   -1.929    2.927    3.086    2.193    2.114 
3146.650    4.311   -4.114    0.655   -1.372    0.190   -0.098   -1.646    0.795 
3160.436    0.185   -0.557   -3.809    4.217    0.122   -0.549   -2.125    2.037 
3164.994    1.737   -1.436   -1.718    2.014   -0.471    0.285    3.844   -3.817 
3183.117   -0.038    0.017    0.059   -0.160    4.601   -4.524    0.581   -0.448 
2922.794   -2.239   -2.179    2.162    2.247    2.355    2.277   -2.263   -2.344 
3078.075    1.027    1.261    2.144    2.227    2.064    2.247    3.113    3.204 
3080.609   -3.594   -2.857    1.142    1.157   -2.260   -2.276    1.487    2.301 
3111.591    2.172    1.761    3.244    3.026   -2.071   -2.604   -1.115   -1.362 
3160.806    0.984   -1.696    0.186    0.013   -2.217    1.812    4.083   -3.588 
3170.108    2.453   -3.050   -1.530    1.352    3.305   -3.188    1.061   -0.407 
3176.399    2.818   -2.822   -1.248    1.464   -2.524    2.421   -2.310    2.198 
3182.584   -1.681    2.028   -4.107    4.171   -0.485    0.244    0.433   -0.702 
2920.177   -2.153   -2.144    2.226    2.493    2.524    2.253   -2.100   -2.113 
3080.020    2.771    2.790    1.381    2.058    2.816    2.069    1.957    1.976 
3090.281    1.655    1.656   -2.713   -2.858    2.028    2.138   -2.467   -2.467 
3121.330    2.310    2.464    2.142    1.998   -2.124   -2.122   -2.580   -2.498 
3164.519    0.333   -0.648   -3.246    2.543    3.045   -3.818   -0.540    0.126 
3177.242   -1.400    1.295    3.240   -3.279    2.946   -2.880   -0.277    0.375 
