  Ax   Bx   By   Cy   Cx   Dx   Dy   Ay   AQ   AL   BQ   BL   CQ   CL   DQ   DL
 25.  25.   1.   1.  26.   26.   0.   0.   0.   0.  14.   0.   6.   0.   0.   8. 
  3.   3.  11.  11.  19.   20.   6.   6.   8.   0.   0.   8.   8.  30.   0.  64. 
  3.   3.   2.   3.   0.    0.   5.   6.  15.  53.   0.  46.  15.   0.  11.  15. 
 14.  14.   0.   0.   0.    0.  14.  14.   0.  12.  11.  50.   0.  11.  18.   0. 
  1.   1.  13.  13.   0.    0.  12.  12.  26.   2.  37.  26.  28.   0.   0.  26. 
  0.   0.   0.   0.   0.    0.   0.   0.  18.  19.  36.  18.  22.   0.   0.  44. 
 39.  40.  34.  34.   0.    0.  25.  26.  24.   0.  31.  10.  10.   0.   0.  10. 
  0.   0.   9.  10.   0.    0.   9.  10.   6.   0.  12.   6.   8.   0.   0.  40. 
  3.   3.   2.   2.   6.    7.   1.   1.   0.  16.  16.   0.  36.  16.  48.   0. 
 19.  20.   4.   5.  40.   40.  16.  16.   0.   4.   4.   0.  31.   4.   4.  40. 
 13.  13.   0.   0.  29.   29.  16.  16.  30.   0.   0.   5.   5.  12.  19.   5. 
 12.  12.  28.  29.   4.    4.  13.  13.   0.  19.  30.   0.   0.  27.  19.   0. 
 13.  13.   1.   2.  16.   17.   2.   2.  18.   0.   0.  18.  18.  59.  26.  18. 
 35.  35.   0.   0.  28.   28.   7.   7.  20.  16.   0.  49.  20.   0.  52.  20. 
 33.  33.  23.  23.   0.    0.  22.  22.   0.  37.   9.  40.   0.   9.   9.   0. 
  1.   2.   0.   0.  12.   13.  11.  11.  42.  14.  14.   0.   0.  18.  24.   0. 
  6.   6.   7.   7.  11.   11.   0.   0.   0.   3.   6.   0.   0.  49.   3.   0. 
  0.   0.  17.  17.   9.   10.  19.  20.   0.  31.  31.   0.   0.  44.  31.  51. 
 12.  13.  23.  23.   0.    0.  10.  11.  32.  36.  36.  51.   0.  52.  36.   0. 
  0.   0.  44.  44.  39.   39.  35.  35.  18.   0.   0.  18.  18.  11.   0.  22. 
  0.   0.  11.  11.  24.   25.  35.  36.  38.   2.   2.   0.   0.  18.   2.  24. 
 19.  19.  46.  46.   8.    8.  19.  19.   2.   0.  23.   2.  24.   0.   0.   2. 
 10.  10.  17.  18.  10.   10.   0.   0.  11.   0.  35.  11.  11.  47.   0.  11. 
  6.   6.  10.  11.   0.    0.  15.  16.  30.  16.  16.  40.   0.  16.  16.   0. 
  5.   5.  11.  11.  16.   16.   0.   0.   0.  24.  24.  24.  55.  24.  45.   0. 
 11.  12.   9.   9.   0.    0.  14.  14.   0.  46.   9.  23.   0.   9.   9.   0. 
 18.  18.   0.   0.  23.   23.   9.  10.  25.  49.   0.  25.  25.   0.  27.  25. 
  9.   9.  16.  17.  11.   11.   0.   0.   8.   0.  20.   8.  28.   0.   0.   8. 
 10.  10.   2.   2.  12.   12.   0.   0.   0.   7.  24.   0.  21.   7.   7.  38. 
  0.   0.  10.  10.   1.    2.  11.  12.  18.   4.   4.   0.   0.  20.   4.  41. 
 44.  44.   0.   0.   5.    5.  39.  39.   8.  28.  28.  30.   0.  28.  37.   0. 
 10.  10.   9.   9.   1.    1.   0.   0.  10.  34.   0.  13.  12.   0.   0.  10. 
 11.  11.   0.   0.  25.   25.  14.  14.  40.   4.   4.   0.   0.  25.   4.  23. 
  0.   0.  15.  15.   0.    0.  15.  15.   0.  29.  41.   0.   0.  32.  29.  34. 
  0.   0.   0.   0.   0.    0.   0.   0.  34.  64.   6.  34.  40.   0.   0.  56. 
 20.  20.  11.  11.  32.   32.  63.  63.  26.  10.   0.  26.  26.   0.   3.  26. 
 56.  56.  20.  21.  21.   22.  14.  14.  36.   0.   0.  18.  12.   0.   0.  12. 
 10.  10.   0.   0.  13.   13.   3.   3.   4.   4.   0.   4.  30.   0.  28.   4. 
 21.  21.  21.  22.  42.   43.   0.   0.   0.   4.   4.  13.  16.   4.   8.   0. 
 21.  21.  19.  19.   2.    2.   0.   0.  28.   0.  38.  10.  10.  14.   0.  10. 
  0.   0.   9.   9.   3.    3.  12.  12.  35.   0.   0.   3.   3.  28.   4.   3. 
  0.   0.   1.   1.  26.   26.  27.  27.  21.   8.   0.  21.  26.   0.  49.  21. 
  0.   0.   9.   9.   7.    7.  16.  16.   4.  42.   0.   4.   7.   0.   0.  15. 
 12.  13.   0.   0.   8.    8.  17.  18.   0.  20.   4.   0.   0.   4.   4.  31. 
 21.  21.  12.  12.   9.    9.   0.   0.   4.  26.   0.  15.  28.   0.   0.   4. 
 19.  20.   0.   0.  18.   19.   1.   1.  14.  19.   0.  20.  14.   0.   9.  14. 
 16.  17.  16.  16.   7.    8.   0.   0.  32.   0.   0.  60.  32.  20.   0.  32. 
 16.  16.   0.   0.  17.   18.  24.  25.   6.   2.   0.   6.   6.   0.   0.  12. 
 35.  35.   0.   0.  35.   35.   0.   0.  60.   6.  26.   0.   0.  20.   6.  10. 
 34.  35.  39.  40.   0.    0.   5.   5.   0.  16.   6.   3.  54.   6.   6.   0. 
  6.   7.  18.  18.   0.    0.  11.  12.   0.  30.  28.  49.  24.  28.  28.   0. 
  6.   6.   4.   4.   0.    0.  10.  10.  14.  10.  45.  14.  14.   0.   0.  47. 
 20.  21.  46.  46.  37.   38.   0.   0.   4.   0.   0.  16.   4.   3.   0.   4. 
  0.   0.   1.   1.  19.   19.  20.  20.   0.  37.  35.   0.  62.  35.  35.  46. 
  2.   2.   0.   0.  17.   17.  15.  15.  48.   0.   0.  10.  10.  43.   0.  12. 
 12.  12.   5.   6.  22.   23.   5.   5.  31.   0.   0.  31.  31.   3.  44.  31. 
 15.  15.   0.   0.   4.    4.  11.  11.  23.  43.  14.  23.  23.   0.   0.  27. 
  8.   9.   0.   0.   8.    9.   0.   0.  28.   0.   3.  16.  16.  49.   0.  48. 
  0.   0.   5.   6.  15.   16.  21.  21.  43.   0.   0.  27.  27.  12.  21.  27. 
  0.   0.  35.  35.  28.   29.  40.  40.   0.  16.  16.   0.  19.  16.  16.   0. 
  0.   0.  16.  17.   3.    3.  19.  20.   0.  18.   6.   0.  37.   6.  16.   0. 
  6.   6.   0.   0.  19.   19.  14.  14.   4.  43.   0.   4.   4.   0.  17.   4. 
 20.  20.   0.   0.  20.   20.   0.   0.   1.   2.   8.   0.   0.  16.   2.  22. 
