  frez       Ax       Bx       By       Cy       Cx      Dx        Dy       Ay
2899.382    2.286    1.967   -2.005   -2.005   -2.000   -2.303    2.595    2.625 
3063.237    0.070   -0.478    3.299    3.304    0.755    0.322    2.946    3.124 
3074.546    3.453    2.598   -0.301   -0.255    2.698    3.581   -1.156    0.970 
3113.391    2.585    2.323    2.360    2.375   -2.200   -2.311   -2.117   -1.934 
3137.674    0.083    1.792    0.179   -0.089    1.771   -0.057    4.169   -4.160 
3167.557    0.096   -0.105   -4.508    4.536   -0.619    0.573    0.330   -0.270 
3170.682    1.997   -2.213   -0.722    0.297    4.185   -3.778   -0.769    0.114 
3176.705   -3.670    4.195   -0.344    0.497    2.032   -1.753   -1.198    1.403 
2919.495    2.305    2.172   -2.258   -2.241   -2.115   -2.159    2.333    2.449 
3076.215    0.407    0.184    3.371    3.334    0.219    0.234    2.892    3.215 
3088.896    3.338    3.090   -0.117   -0.287    3.223    3.211   -0.559   -0.133 
3116.641    2.257    2.350    2.056    2.100   -2.523   -2.306   -2.245   -2.406 
3164.520   -0.949    1.280    1.419   -1.323    0.451   -0.135    4.378   -4.001 
3168.567    0.366   -0.195   -4.243    4.258   -0.560    0.834    1.573   -1.429 
3178.632   -4.266    4.408   -0.446    0.434   -0.995    1.125   -0.839    1.057 
3183.489    0.866   -0.988    0.806   -0.946   -4.377    4.430    0.315   -0.229 
2910.650   -2.155   -2.045    2.243    2.351    2.209    2.235   -2.386   -2.347 
3058.656    1.042    1.555    3.593    3.252    0.438    0.466    2.685    2.512 
3078.148   -2.787   -3.055    0.669    1.517   -3.258   -3.188    0.819    0.416 
3098.999   -1.763   -2.870   -1.896   -0.938    2.307    2.185    3.083    2.411 
3145.511    2.113   -0.794   -3.809    4.347   -0.388    0.428   -1.286    0.849 
3156.202   -0.039   -0.769    1.134   -1.155    0.405   -0.423   -4.008    4.676 
3165.298   -0.649    0.389    0.223   -0.434   -4.444    4.564   -0.260    0.469 
3176.669    4.505   -3.985    1.771   -1.143   -0.589    0.320    0.457   -0.868 
2908.540    2.482    2.393   -2.333   -2.322   -2.121   -2.022    2.023    2.234 
3065.534    2.752    2.470    2.703    2.733    1.834    1.815    1.552    1.899 
3075.035   -1.603   -2.003    2.285    2.447   -3.081   -2.555    1.903    1.996 
3106.488   -1.614   -2.550   -1.298   -1.528    2.298    2.177    3.143    2.910 
3150.047    4.310   -4.086   -1.216    1.093    0.227   -0.435   -1.627    0.697 
3152.072    1.083   -0.979    4.446   -4.263    0.527   -0.863   -0.462    0.191 
3168.141    1.172   -0.801    0.484   -0.601   -3.828    4.084    1.801   -2.145 
3178.781   -1.042    0.661    0.110   -0.403   -1.946    2.338   -3.963    3.927 
2923.462    2.257    2.175   -2.243   -2.289   -2.243   -2.204    2.289    2.372 
3079.688    0.398    0.314    3.177    3.508    0.019    0.321    3.021    3.110 
3086.487    2.848    2.741   -0.384   -0.801    3.745    3.352    0.121    0.174 
3114.782   -2.769   -2.877   -1.764   -2.188    1.926    1.573    2.531    2.300 
3168.582   -0.325    0.255    3.736   -3.146    2.168   -2.745   -1.668    1.671 
3169.881    0.876   -1.089   -2.272    1.977    0.590   -0.356   -3.899    3.893 
3178.410    1.126   -1.036   -1.672    1.868    3.595   -3.856    1.679   -1.682 
3182.704   -4.324    4.361   -1.206    1.098    0.933   -0.814   -0.270    0.450 
2918.368   -2.222   -2.172    2.152    2.199    2.192    2.311   -2.446   -2.332 
3076.195    1.656    1.224   -2.746   -2.724    0.337    0.706   -3.298   -3.279 
3082.016    3.365    3.239    1.410    1.291    2.624    2.841    0.770    0.771 
3113.109    1.755    1.597    2.772    2.383   -2.571   -3.022   -1.558   -2.124 
3159.047    1.280   -1.621   -0.373    0.126    0.895   -0.425    4.363   -4.136 
3169.628   -3.588    3.625    2.246   -2.583   -0.149    0.363    1.320   -1.488 
3176.877   -1.438    1.711   -1.989    1.734    4.046   -3.684   -0.318    0.043 
3178.465    1.683   -1.936    3.276   -3.536    2.514   -2.161   -0.742    0.857 
2909.530    2.213    2.030   -1.999   -1.999   -2.311   -2.330    2.414    2.610 
