  frez       Ax       Bx       By       Cy       Cx      Dx        Dy       Ay
2925.660    2.297    2.248   -2.232   -2.213   -2.207   -2.271    2.298    2.321 
3081.319    0.836    0.659   -3.230   -3.594    1.986    1.475   -2.345   -2.332 
3084.428    2.994    3.345    1.829    1.091    2.827    2.673    0.810    1.082 
3114.200    1.909    2.488    1.243    1.440   -2.628   -1.805   -2.909   -3.102 
3164.657   -2.137    1.635    3.642   -3.475    1.610   -2.409    0.554   -0.652 
3175.858    3.911   -3.442    0.747    0.014    2.348   -2.868    0.306   -0.704 
3178.718   -0.413    0.586   -1.026    0.964    0.227    0.204    4.562   -4.321 
3183.975   -1.788    1.973   -2.537    2.739    3.124   -3.176   -0.878    0.750 
2908.889    2.029    2.270   -2.580   -2.457   -2.379   -2.244    1.961    1.971 
3071.152    1.480    2.151   -2.796   -1.857    3.151    3.067   -1.381   -1.387 
3078.663    2.240    2.264    2.234    2.613    1.825    1.466    2.663    2.651 
3116.836    2.500    2.935    1.395    1.906   -1.567   -1.724   -2.867   -2.778 
3148.535   -1.367    0.235   -4.141    4.297    0.995   -1.624    0.039    0.337 
3158.865   -0.583    0.465   -1.054    1.438   -4.328    4.360    0.302   -0.148 
3178.863    4.694   -4.189   -1.125    0.840   -0.205    0.281    0.302   -0.586 
3184.802    0.448   -0.419   -0.036   -0.002   -0.244    0.322   -4.554    4.579 
2910.706   -2.276   -2.130    2.080    2.137    2.115    2.282   -2.505   -2.426 
3072.191    0.399    0.248    3.184    3.185    0.979    0.677    3.216    3.018 
3079.422    3.481    3.339   -0.297   -0.354    2.567    3.144   -1.213   -0.290 
3113.194   -1.776   -2.182   -2.627   -2.251    2.388    2.838    2.087    1.916 
3152.663    0.730   -1.457   -0.224    0.425   -0.981    0.297   -4.146    4.499 
3167.343   -3.610    3.308    2.516   -2.640   -1.171    1.223   -0.622    1.124 
3174.660   -2.696    2.833   -3.523    3.456    0.937   -0.862   -0.522    0.642 
3175.686   -0.253    0.174    1.186   -1.635    4.580   -3.941   -0.856    0.784 
2913.145    2.082    2.141   -2.165   -2.270   -2.381   -2.488    2.353    2.089 
3074.473   -2.817   -2.937    1.728    1.700   -2.456   -2.973    1.684    1.119 
3081.482    1.692    1.977    2.823    3.041    1.698    0.933    2.763    2.490 
3115.024    2.062    2.216    2.141    1.924   -2.591   -2.072   -2.509   -2.639 
3157.637    0.821   -0.552   -1.041    0.544    4.063   -4.004    1.187   -2.277 
3169.186   -1.758    1.643    4.070   -4.168    0.991   -0.727    0.492   -0.592 
3172.459   -3.890    3.681   -1.637    1.471    0.893   -1.242   -1.837    1.633 
3179.697    1.866   -1.728    1.042   -0.824    1.334   -1.731   -3.765    3.863 
2916.127   -2.254   -2.144    2.263    2.405    2.388    2.253   -2.090   -2.213 
3068.884   -1.626   -1.557    1.854    2.919   -3.905   -2.846    0.527    0.619 
3070.798    2.143    2.157    2.670    2.961    1.317    1.570    2.426    2.462 
3108.057    2.677    3.202    0.959    1.079   -1.152   -1.104   -3.362   -2.879 
3150.597   -0.762    0.395    3.707   -2.626    2.549   -3.585   -0.323    0.734 
3157.808    1.391   -1.355   -2.912    2.841    2.971   -3.063   -1.184    1.250 
3173.444    3.788   -3.760    1.565   -1.293   -1.100    1.093   -1.991    1.708 
3180.203    2.309   -1.896    0.387   -0.004    0.593   -1.068    3.802   -4.139 
2911.657    2.334    2.098   -2.211   -2.223   -2.067   -2.115    2.362    2.544 
3063.439    1.249    1.263    3.627    3.068    0.934    0.857    2.373    2.851 
