  Ax   Bx   By   Cy   Cx   Dx   Dy   Ay   AQ   AL   BQ   BL   CQ   CL   DQ   DL
  0.   0.  28.  28.  14.   14.  14.  14.   0.  25.  25.  14.   3.  25.  44.   0. 
 45.  46.  30.  30.  18.   19.   0.   0.  14.   0.  14.  14.  14.  26.   0.  14. 
  7.   8.   0.   0.   6.    7.   1.   1.   0.  27.  47.   0.   0.  16.  16.   6. 
  8.   8.  19.  19.   0.    0.  11.  11.  12.   2.  10.  12.  29.   0.   0.  12. 
 34.  34.   0.   0.  36.   36.   2.   2.   0.  48.  32.   0.  30.  32.  32.  51. 
  0.   0.  16.  17.   0.    0.  16.  17.   9.  26.   0.  23.  10.   0.  51.   9. 
 22.  23.   7.   8.   9.    9.   6.   6.   0.  30.  30.  24.   0.  30.  30.   0. 
 31.  32.   0.   0.  10.   10.  21.  22.   2.  36.   0.   6.   2.   0.   2.   2. 
 28.  29.  11.  11.   0.    0.  20.  21.  29.  44.  10.  29.  29.   0.   0.  29. 
  6.   6.  11.  11.  17.   17.   0.   0.   0.   4.   4.  52.   4.   4.  17.   0. 
  5.   6.  10.  10.  44.   44.  59.  60.  32.   0.   0.   8.   8.   0.  13.   8. 
 28.  29.  46.  47.  46.   46.   0.   0.   0.  12.  12.  32.   0.  16.  12.   0. 
 12.  12.   8.   8.   4.    4.   0.   0.   0.  10.  37.   0.  18.   0.   0.   0. 
 23.  23.   0.   0.  25.   25.  37.  38.   0.  14.   6.   0.   0.   6.   6.  24. 
  4.   4.   0.   0.  19.   20.  15.  16.  26.  21.  21.   0.   0.  45.  58.   0. 
 25.  26.   0.   0.   2.    2.  23.  24.   0.  47.  30.  27.   0.  30.  45.   0. 
  2.   2.   0.   0.  27.   27.  25.  25.   4.   0.   0.   4.  59.   0.   2.   4. 
  8.   8.  15.  16.  23.   24.   0.   0.   0.   2.  18.   0.   0.  14.   2.  43. 
  0.   0.   0.   0.   9.    9.   9.   9.   0.  11.   9.   0.  10.   9.  16.   0. 
 17.  17.   0.   0.  29.   29.  41.  42.  36.   0.   0.  10.  10.   0.  13.  10. 
 30.  30.   0.   0.  22.   22.  13.  13.  44.  32.  32.   0.   0.  32.  32.  53. 
 16.  16.   8.   8.   8.    8.   0.   0.   0.  41.  21.  22.   2.  21.  21.   0. 
