  frez       Ax       Bx       By       Cy       Cx      Dx        Dy       Ay
2911.830    2.229    2.316   -2.135   -2.044   -2.263   -2.364    2.362    2.269 
3062.118   -3.286   -2.841    1.418    1.382   -2.213   -2.254    1.806    2.239 
3079.232    1.010    1.272    1.967    1.892    2.526    2.435    2.924    3.250 
3103.885   -2.624   -1.548   -3.084   -3.416    2.213    1.746    0.601    1.635 
3149.869    2.303   -3.195    0.364   -0.878    1.905   -1.447    3.470   -2.675 
3158.980    1.351   -1.941   -0.892    0.258   -3.897    4.310    1.084   -0.437 
3164.695    3.190   -3.084    0.519   -0.553    0.507   -0.659   -3.223    3.218 
3179.844   -0.404    0.667    4.547   -4.397   -0.965    0.735    0.013   -0.145 
2906.706    2.417    2.222   -2.015   -2.017   -2.045   -2.048    2.455    2.650 
3062.012    0.244   -0.116    2.507    2.511    1.612    2.011    3.316    3.279 
3075.042    3.553    3.235   -0.420   -0.413    2.641    2.803   -1.338   -1.169 
3106.558   -1.988   -1.695   -3.181   -3.154    2.042    2.679    1.765    0.434 
3135.981    0.392   -1.297   -0.532   -0.355    0.978   -0.197   -4.199    4.484 
3159.711   -4.294    4.627    0.320   -0.197    0.177    0.062   -0.727    1.026 
3172.274   -0.019   -0.008    0.733   -0.864    4.711   -4.196    0.810   -0.431 
3177.142   -0.254    0.294   -4.497    4.516    0.815   -0.748    0.179   -0.107 
2921.513   -2.148   -2.138    2.340    2.343    2.295    2.337   -2.250   -2.204 
3073.616    0.959    1.607    3.866    3.363   -0.259   -0.117    2.437    2.348 
3081.569    2.791    3.173   -0.414   -1.152    3.428    3.223   -0.278   -0.152 
3110.743   -1.862   -2.690   -1.402   -0.757    2.213    1.865    3.242    3.086 
3156.192    1.794   -0.645   -3.860    4.390   -1.201    1.482   -0.267    0.053 
3169.557   -1.225    0.724    0.813   -1.331   -4.192    4.440   -0.018    0.312 
3178.116   -0.771    0.556   -0.158    0.116    0.275   -0.327   -4.417    4.631 
3181.575    4.462   -3.984    1.745   -1.275   -0.657    0.502   -0.767    0.649 
2906.733    2.060    2.262   -2.260   -2.229   -2.304   -2.430    2.340    2.043 
3058.640   -2.745   -2.755    1.812    1.829   -2.225   -2.471    2.058    1.965 
3073.229    2.043    2.906    3.231    2.910    1.352    0.870    2.000    1.770 
3099.850    1.678    1.114    1.645    1.573   -3.367   -2.213   -2.261   -3.268 
3145.441   -2.742    2.695   -0.040    0.065   -2.783    2.414   -2.545    2.501 
3153.459   -1.781    1.488    3.766   -4.099    1.298   -1.728   -0.240   -0.519 
3159.945    2.758   -2.688    2.285   -2.265   -2.453    3.092    0.448    0.747 
3176.265   -2.068    1.356   -0.330   -0.130   -1.489    2.286    3.978   -3.540 
2922.084    2.325    2.307   -2.191   -2.188   -2.137   -2.153    2.366    2.386 
3077.912    1.567    2.105    3.405    2.815    1.439    1.426    2.301    2.384 
3084.250   -3.027   -3.311    1.021    1.259   -2.043   -2.091    2.308    2.242 
3114.261   -0.865   -1.693   -2.533   -1.799    3.138    3.162    2.042    2.111 
3164.640    4.330   -3.461   -1.590    2.570   -0.120   -0.232   -1.094    0.787 
3166.808   -1.050    0.802    0.149   -0.339    0.064   -0.092   -4.462    4.470 
3178.208   -1.983    2.241   -3.847    4.157   -0.723    0.655    0.195   -0.203 
3185.718   -0.329    0.375   -0.579    0.593    4.565   -4.524    0.102   -0.131 
2911.785   -2.094   -2.032    2.210    2.467    2.377    2.213   -2.299   -2.273 
3067.810    0.990    1.003    2.624    3.151    1.346    0.768    3.204    3.122 
3085.140    3.207    3.082   -1.248   -0.984    2.962    2.954   -1.067   -0.878 
3112.516    2.302    2.446    2.508    2.131   -2.171   -2.480   -2.179   -1.980 
3157.005    0.578   -0.710   -4.074    3.574    1.811   -2.437   -1.174    0.825 
3160.428   -0.226    0.042    0.887   -0.786   -0.458    0.576   -4.298    4.595 
3173.496    0.768   -0.568   -1.886    2.367   -4.118    3.865    0.036   -0.054 
3180.073   -4.459    4.521   -0.983    0.819   -0.282    0.273   -0.004    0.010 
2923.566   -2.161   -2.157    2.237    2.381    2.377    2.238   -2.253   -2.262 
3080.217   -0.277    0.088    2.547    2.854    0.763    0.652    3.478    3.704 
3085.987    3.609    3.150   -0.344   -0.076    3.079    2.961   -0.029   -0.633 
3115.568   -2.432   -1.799   -2.788   -2.877    2.212    2.590    1.370    1.751 
3165.935    0.990   -1.655    0.793   -0.703   -1.819    1.725    4.137   -3.677 
3172.990    1.137   -1.783   -3.207    2.678    2.765   -2.957    1.485   -1.184 
3179.543    0.494   -0.656    3.389   -3.431    3.078   -2.866    0.631   -0.341 
3183.554    3.937   -4.226    0.332   -0.337   -0.799    0.968   -1.699    2.036 
2916.595    2.256    2.439   -2.432   -2.251   -2.105   -2.072    2.202    2.244 
3075.761   -0.958   -1.333    3.011    2.448   -0.857   -0.850    3.230    3.435 
3083.603    3.090    3.320    1.265    1.515    2.849    2.839    0.764    0.663 
3115.103   -1.989   -1.738   -2.575   -2.174    2.683    2.831    1.947    2.094 
3162.082    3.582   -3.267    2.250   -2.909    0.131    0.315    1.491   -1.501 
3168.565   -0.618    0.336   -1.607    1.894   -0.721    0.480    4.268   -4.022 
3170.983   -2.964    2.955    3.234   -3.400   -0.352    0.467    0.997   -1.011 
3183.677   -0.305    0.221    0.075   -0.166    4.562   -4.507    0.735   -0.610 
2917.318    2.246    2.331   -2.313   -2.148   -2.127   -2.290    2.319    2.249 
3067.999    1.679    1.558   -2.736   -2.913    2.431    2.050   -2.219   -2.217 
3074.930    2.752    3.626    3.023    1.943    1.662    1.787    0.840    0.965 
3104.068   -1.406   -1.590   -0.807   -1.308    3.246    2.177    2.692    3.471 
3152.930   -2.081    1.385    3.430   -3.755    1.460   -2.524    0.236   -0.838 
3159.531   -3.917    3.437   -0.958    0.352   -1.522    1.530   -2.138    2.025 
3171.677    2.095   -1.908    1.907   -1.921   -1.192    0.529   -3.711    3.317 
3179.607   -0.107   -0.392    1.449   -2.223   -3.446    3.914    2.240   -1.647 
2910.191    2.095    2.173   -2.511   -2.452   -2.183   -2.218    2.185    2.141 
3064.058   -0.177   -0.252    3.336    3.337   -1.282   -1.272    2.806    2.766 
3080.376    3.065    3.137    0.597    0.704    3.180    3.123    0.903    0.913 
3106.890    2.617    2.473    1.406    1.837   -2.186   -1.922   -2.608   -2.819 
3144.433    0.442   -0.082    4.567   -4.432    0.359   -0.518    0.077   -0.293 
3166.347   -1.189    1.269    0.496   -0.454   -2.771    2.710   -3.408    3.411 
3167.975    0.640   -0.776    0.128   -0.288   -3.518    3.728    2.787   -2.584 
3175.050    4.366   -4.326   -0.241    0.111   -0.178    0.240   -1.376    1.463 
2915.418   -2.388   -2.539    2.365    2.215    2.124    2.123   -2.112   -2.117 
3072.232   -3.209   -3.314    0.538    0.221   -2.748   -2.753    1.392    1.634 
3083.212    1.202    1.090    3.377    3.129    0.702    0.693    2.841    2.967 
3112.614   -1.880   -1.222   -2.232   -2.059    2.860    2.855    2.144    2.549 
3151.826   -4.366    4.450   -0.534    1.108   -0.340   -0.094   -0.813    0.464 
3170.431    0.740   -0.965   -4.316    4.603   -0.592    0.477    0.106    0.059 
3176.635   -0.491    0.323    0.335   -0.372   -3.422    3.485    3.077   -2.853 
3178.677    0.617   -0.390    0.414   -0.439   -2.982    2.951   -3.560    3.299 
