  frez       Ax       Bx       By       Cy       Cx      Dx        Dy       Ay
2913.542   -2.397   -2.483    2.298    2.082    2.090    2.136   -2.199   -2.290 
3074.617   -2.761   -3.131    1.263    0.816   -2.861   -2.985    1.538    1.507 
3080.607    1.301    0.631    2.829    2.561    1.500    1.785    3.071    3.169 
3113.966   -2.466   -1.965   -2.700   -2.734    2.119    2.338    2.019    1.717 
3157.164   -4.219    4.237   -0.790    1.742   -0.685    0.409    1.015   -0.644 
3166.760   -1.022    0.774   -0.362    0.403    1.507   -1.316   -4.145    4.319 
3173.047    0.623   -0.867   -1.715    1.621   -4.095    3.859   -1.416    1.251 
3179.925    0.977   -1.317   -3.966    4.132    1.725   -1.633    0.795   -0.587 
2911.667   -2.313   -2.397    2.103    2.035    2.142    2.323   -2.412   -2.244 
3061.865   -3.430   -3.275    0.709    0.811   -2.038   -2.350    1.909    2.009 
3079.094    1.005    1.590    3.175    2.789    1.570    1.510    2.733    2.817 
3104.820    1.514    1.212    2.717    2.543   -2.935   -2.839   -1.399   -2.287 
3145.454   -3.921    4.079    0.168   -0.210   -0.849    0.279   -2.353    1.668 
3159.341    2.132   -1.830   -0.620    1.029   -2.332    1.892   -3.321    3.486 
3169.162   -0.819    0.552   -1.493    1.359   -3.583    3.755    2.405   -2.021 
3177.771   -0.213    0.477   -4.074    4.459    1.680   -1.552   -0.213    0.115 
2917.841    2.301    2.222   -2.108   -2.085   -2.228   -2.433    2.366    2.272 
3077.309    3.205    3.024   -0.957   -0.981    2.821    3.276   -1.112   -0.516 
3088.358    0.938    0.632    3.133    3.146    1.132    0.901    3.043    3.076 
3119.217    2.366    2.190    2.277    2.474   -2.314   -2.067   -2.248   -2.335 
3164.891    0.097    0.346    0.561   -0.614    4.150   -3.664    2.003   -2.493 
3170.897   -4.249    4.589    0.045    0.160   -0.617    0.751    1.034   -0.846 
3177.412    1.191   -1.133   -0.463    0.316   -1.978    2.298    3.923   -3.805 
3183.939    0.086   -0.033    4.592   -4.485   -0.785    0.623    0.055   -0.054 
2908.541   -2.023   -2.217    2.366    2.428    2.329    2.241   -2.245   -2.096 
3065.495   -1.026   -1.101    2.734    2.948   -0.900   -0.922    3.401    3.078 
3074.208    2.529    2.705    0.038    0.737    3.412    3.328    1.756    1.122 
3104.591   -3.072   -2.543   -1.912   -3.076    1.596    1.889    1.765    1.776 
3151.836   -1.896    1.325   -3.313    2.854    1.662   -1.628   -2.242    2.528 
3157.917   -0.902    0.358   -2.614    2.319   -3.653    3.486    1.076   -1.302 
3160.247   -0.442    1.298    2.156   -1.431   -2.141    2.375   -3.255    3.487 
