  Ax   Bx   By   Cy   Cx   Dx   Dy   Ay   AQ   AL   BQ   BL   CQ   CL   DQ   DL
  8.   9.   5.   6.   0.    0.  14.  14.   2.   2.  37.   2.   2.   0.   0.  16. 
  7.   7.   3.   3.  10.   10.   0.   0.   6.   0.  52.   6.   6.   3.   0.  23. 
 11.  11.   0.   0.  15.   15.   4.   4.  25.   8.   0.  25.  32.   0.  56.  25. 
 35.  36.   1.   1.  24.   24.  10.  10.  24.  15.  15.   8.   0.  15.  15.   0. 
  0.   0.   4.   5.   1.    2.   6.   6.   0.  18.   2.   0.   4.   2.   4.   0. 
 18.  18.   8.   8.  19.   19.   0.   0.   0.   0.  16.   0.  14.   0.   0.   0. 
 13.  13.  12.  12.  35.   36.  10.  10.   0.  12.  12.   0.  22.  12.  13.   0. 
 24.  24.  23.  23.  47.   47.   0.   0.   0.   9.   9.  44.  15.   9.  35.   0. 
 28.  28.   3.   3.  31.   31.   0.   0.   0.  11.  11.  14.  50.  11.  50.   0. 
 30.  31.  16.  16.  61.   61.  14.  15.  12.   0.   0.  12.  12.  16.  10.  12. 
 10.  10.  32.  32.   0.    0.  22.  22.   0.   7.  17.   0.  46.   3.   3.   0. 
  3.   3.  17.  17.  34.   35.  15.  15.   0.  20.  20.   0.   0.  23.  20.  40. 
 37.  37.   0.   0.  18.   18.  19.  19.  28.   0.   0.  23.   7.   0.  11.   7. 
 15.  15.  18.  19.   1.    1.   3.   3.  32.   0.   0.  42.  32.  28.   0.  32. 
  0.   1.   0.   0.  31.   31.  30.  31.   0.  30.   8.   0.   1.   8.   8.  45. 
  0.   0.  33.  33.  29.   29.   4.   4.   0.   5.   5.   8.   0.  11.  31.   0. 
 11.  12.  11.  12.   0.    0.   0.   0.  20.  54.   0.  40.  26.   0.   0.  20. 
 23.  24.  32.  33.   0.    0.   9.   9.   0.  43.  12.  10.  24.  12.  12.   0. 
 30.  30.  52.  53.   9.   10.  13.  13.   0.  20.  24.   0.  36.  20.  20.   0. 
 15.  15.  56.  56.   7.    7.  34.  34.  24.   0.  42.  24.  36.   0.   0.  24. 
 10.  10.   0.   0.  10.   10.   0.   0.  10.  38.   8.  10.  18.   0.   0.  42. 
 26.  26.   0.   0.  26.   26.   0.   0.  39.  20.  10.  39.  42.   0.   0.  54. 
  9.   9.  10.  10.  12.   12.   0.   0.  48.   0.  58.  48.  48.   4.   0.  48. 
 13.  14.   5.   6.  11.   11.   0.   0.   0.   1.  24.   0.   0.  23.   1.   0. 
  1.   2.   6.   6.  26.   26.  18.  19.   4.   0.   0.   4.  24.   0.   7.   4. 
  7.   7.  10.  10.   0.    0.  17.  17.   9.   8.   8.  37.   0.   8.  10.   0. 
  0.   0.  16.  16.   0.    0.  16.  16.  12.   8.  36.  12.  41.   0.   0.  26. 
 20.  20.  12.  12.  42.   42.  10.  10.  19.   0.   0.  19.  19.  22.  28.  19. 
 18.  18.   7.   8.   0.    0.  17.  18.   0.  50.  24.  52.   0.  24.  24.   0. 
 18.  18.  11.  11.   7.    7.   0.   0.  25.   0.   2.   2.   2.  54.   0.   2. 
 29.  30.   0.   0.  17.   17.  12.  13.  14.   0.   0.  31.   8.   0.  51.   8. 
  0.   0.   0.   0.   0.    0.   0.   0.  16.  12.  12.  22.   0.  12.  30.   0. 
  0.   0.  35.  35.   6.    6.  41.  41.  12.  38.   0.  12.  16.   0.   0.  12. 
  0.   0.  24.  25.   5.    5.  23.  24.  12.   0.   0.  12.  12.  34.  17.  12. 
  0.   0.   7.   7.  37.   38.  32.  33.   0.  20.  20.   0.  30.  20.  20.  37. 
  3.   3.   0.   0.  33.   33.  30.  30.  24.   6.   6.   0.   0.  12.   6.  13. 
  7.   7.  22.  22.  33.   34.   4.   5.  12.   0.   0.  12.  12.  23.   0.  32. 
  9.   9.   0.   0.   9.    9.   0.   0.   0.  47.  35.   0.  42.  20.  20.  18. 
 33.  33.  20.  20.  10.   11.   2.   3.   0.  36.   8.  15.   0.   8.   8.   0. 
  0.   0.  31.  31.  13.   14.  17.  18.   0.  10.  24.   0.   0.  46.  10.   7. 
 19.  19.   4.   4.  15.   15.   0.   0.   8.   7.   7.  41.   0.  47.   7.   0. 
  0.   0.   6.   7.   3.    4.  10.  10.  32.   0.   0.  10.  10.   3.  29.  10. 
 12.  13.  35.  35.   0.    0.  47.  48.   4.  27.  29.   4.   4.   0.   0.  16. 
  8.   8.   1.   1.   9.    9.   0.   0.   3.   0.   0.  61.  11.   0.   4.   3. 
 15.  15.  32.  32.   0.    0.  17.  17.  21.  16.   0.  32.  24.   0.   0.  21. 
  0.   0.   8.   8.  17.   18.  12.  12.   8.   0.   0.   8.   8.   2.   5.   8. 
 32.  33.   1.   2.   5.    5.  26.  26.  15.   0.   0.  29.   5.   0.   0.   5. 
 20.  21.   7.   8.  11.   11.   2.   2.  16.  37.   0.  46.  16.   0.   0.  16. 
 12.  12.   9.   9.  23.   23.  43.  44.   4.   0.   0.   1.   1.   0.   0.  17. 
 34.  35.  56.  56.  29.   30.   0.   0.   0.  12.  12.   7.  36.  12.  12.   0. 
 13.  13.  24.  24.   0.    0.  11.  11.  44.   0.  11.  14.  14.  18.   0.  14. 
  7.   7.  41.  41.  14.   14.  20.  20.  30.   0.  23.  30.  30.  29.   0.  30. 
 32.  33.  13.  13.  14.   15.   5.   5.  20.  53.   8.  20.  20.   0.   0.  20. 
 39.  39.   0.   0.  21.   21.  18.  18.  44.   0.  42.  18.  18.   0.   0.  27. 
 11.  12.   5.   6.   6.    6.   0.   0.  22.   0.   9.  16.  16.  10.   0.  16. 
 30.  30.   0.   0.  30.   30.   0.   0.  47.   4.  34.   0.   0.  18.   4.  18. 
 24.  25.  30.  31.   0.    0.  11.  11.  10.  32.   0.  16.  10.   0.   0.  10. 
  6.   6.   0.   0.   6.    6.   0.   0.   0.  24.  10.  48.  10.  10.  10.   0. 
 16.  16.   7.   8.   7.    8.   1.   1.   9.  11.  11.   1.   0.  11.  11.   0. 
  3.   3.   6.   6.   0.    0.   3.   3.   0.  19.   4.   8.  24.   4.   4.   0. 
 14.  14.  27.  27.   0.    0.  41.  41.   6.  12.   0.  26.   6.   0.  24.   6. 
 18.  18.  27.  27.  20.   20.   0.   0.  13.   0.  10.  13.  19.   0.   0.  13. 
  5.   6.   5.   6.   4.    4.   0.   0.  12.   0.  13.  12.  64.   0.   0.  12. 
 33.  34.  12.  12.  21.   22.   0.   0.   8.   5.  26.   8.  18.   0.   0.   8. 
 27.  28.   0.   0.  25.   25.   2.   3.   0.  44.  60.   0.   0.  36.  36.  42. 
 53.  53.  19.  20.   8.    9.  25.  25.  17.   4.   4.  15.   0.   4.   4.   0. 
 24.  24.  12.  12.  12.   12.   0.   0.  32.   4.   4.  35.   0.  12.   4.   0. 
  9.   9.  19.  19.  28.   28.   0.   0.   0.   4.  31.   0.  13.   4.   4.   8. 
  0.   0.  22.  22.  16.   17.  16.  16.   0.   0.   0.   0.  13.   0.  17.   0. 
 26.  26.   6.   6.  11.   11.   9.   9.  10.  14.  14.  15.   0.  14.  14.   0. 
  9.   9.   0.   0.   3.    3.   6.   6.  58.  24.  24.  10.   0.  24.  26.   0. 
  0.   0.  10.  10.  18.   19.  12.  13.   0.   2.   2.   0.   0.   6.   2.  17. 
  5.   5.  21.  21.   0.    0.  26.  26.   0.  15.   5.  24.   0.   5.  19.   0. 
 14.  14.   0.   0.   6.    6.   8.   8.  11.  16.   6.  11.  11.   0.   0.  22. 
  2.   2.   0.   0.   8.    8.   6.   6.  12.  36.   0.  12.  28.   0.   0.  24. 
  0.   0.  10.  10.  27.   27.  22.  22.   0.   0.   0.   0.  17.   0.   0.  63. 
  9.   9.   8.   8.   1.    1.   0.   0.   0.  15.   2.  12.   6.   2.   2.   0. 
  8.   8.   1.   2.   6.    7.   0.   0.  35.  30.  30.  29.   0.  40.  30.   0. 
 21.  22.   2.   3.   0.    0.  19.  19.   6.   4.   8.   6.   6.   0.   0.   6. 
 38.  38.  27.  28.  30.   30.   0.   0.  21.   0.   0.  39.  26.   0.   0.  21. 
 26.  27.  13.  13.   0.    0.  19.  19.   7.   2.  32.   0.   0.   2.   2.   0. 
  9.   9.  11.  11.   0.    0.   2.   2.  11.  20.  64.  11.  12.   0.   0.  11. 
 24.  24.  17.  17.   7.    7.   0.   0.   0.  59.  26.   0.   0.  19.  19.   0. 
  8.   9.  20.  21.  29.   30.   0.   1.  20.   0.   0.  20.  20.   3.  38.  20. 
 11.  12.   0.   0.  11.   11.   0.   1.  24.  31.   0.  50.  24.   0.  15.  24. 
  0.   0.  13.  13.   3.    3.  16.  16.  23.  24.   0.  23.  29.   0.  45.  23. 
  0.   0.  18.  18.  11.   11.  29.  29.  12.   0.   0.   0.   0.  49.   1.   0. 
 15.  15.   6.   6.   4.    4.  24.  25.  28.  39.   0.  28.  28.   0.  32.  28. 
  0.   0.  30.  31.  40.   41.  24.  24.   0.   5.   5.   0.   0.  25.   5.   5. 
 27.  27.   8.   8.  19.   19.   0.   0.  17.  28.   9.  17.  18.   0.   0.  17. 
  0.   0.  37.  37.  23.   23.  14.  14.   0.   8.  10.   0.   3.   8.   8.  48. 
 12.  13.   4.   4.  26.   26.   9.  10.   0.   1.   1.   0.   0.   7.   1.  12. 
 33.  33.   2.   2.   0.    0.  35.  35.   0.  28.  20.  46.   0.  20.  20.   0. 
  5.   5.  10.  10.   0.    0.   5.   5.   0.  23.   2.  30.  42.   2.   2.   0. 
  0.   0.  33.  33.  22.   22.  11.  11.   0.  17.  17.  14.  14.  17.  37.   0. 
  3.   4.  16.  17.   3.    3.  23.  23.  36.  36.   0.  36.  36.   0.  14.  36. 
 15.  15.   6.   7.   8.    9.   0.   0.   0.  26.   4.   6.  52.   4.   4.   0. 
  0.   0.  12.  12.  11.   11.  23.  23.  48.  12.  12.   0.   0.  19.  12.   0. 
  2.   2.   9.   9.   3.    3.  14.  14.  18.   0.   0.   0.   0.   0.   0.  14. 
 39.  39.  16.  17.  22.   23.   0.   0.  19.   0.   0.  32.  19.  51.   0.  19. 
 11.  12.  14.  15.   0.    0.  11.  11.  22.  53.  17.  22.  22.   0.   0.  22. 
 16.  16.   1.   1.  10.   10.  27.  27.   6.  12.   0.   6.   6.   0.  38.   6. 
 22.  22.   7.   7.  15.   15.   0.   0.  21.   0.   0.  25.  14.   4.   0.  14. 
 10.  10.  21.  21.   0.    0.  11.  11.   0.  13.   5.  11.  32.   5.   5.   0. 
  1.   1.  35.  35.   1.    1.  36.  37.  30.  29.   0.  30.  30.   0.  13.  30. 
 28.  28.  36.  37.   0.    0.   8.   9.   6.  13.  33.   6.  20.   0.   0.   6. 
  0.   0.  19.  19.  10.   10.   9.   9.   0.   7.  15.   0.  48.   7.   7.  20. 
  0.   0.  14.  15.  13.   14.  28.  28.   0.  32.  18.   0.  39.  18.  18.   0. 
 32.  33.  13.  14.  53.   53.   7.   7.   0.   6.   6.   0.  26.   6.   6.  15. 
  2.   2.  17.  17.   0.    0.  19.  19.  47.   0.   0.  33.  24.   0.  36.  24. 
 43.  43.  25.  25.  18.   18.   0.   0.  33.   0.  24.   6.   6.  42.   0.   6. 
  3.   3.   0.   0.   3.    3.   0.   0.  16.  11.  37.  16.  48.   0.   0.  38. 
  0.   0.  36.  37.  27.   27.  11.  12.  12.   0.   0.  12.  22.   0.   6.  12. 
  0.   0.   1.   2.   0.    0.   1.   2.  21.   0.  35.   8.   8.  27.   0.  13. 
 10.  10.   8.   8.  12.   12.   0.   0.   0.   8.  24.   0.   0.  18.   8.   0. 
  1.   1.  12.  12.   0.    0.  13.  13.   3.  20.  22.   3.   3.   0.   0.  35. 
 22.  22.  15.  15.  40.   40.   3.   3.   2.   0.   0.   2.   2.   7.  18.   2. 
  1.   2.   8.   8.   0.    0.   9.  10.  42.  14.  24.   0.   0.  14.  14.  19. 
  0.   0.   4.   5.   9.   10.   7.   7.   0.  38.  38.   0.   9.  38.  38.   6. 
 29.  29.   9.   9.  46.   47.   8.   8.  15.   0.   0.  15.  20.   0.  28.  15. 
  4.   5.   1.   1.   3.    4.   0.   0.   0.  18.  15.  19.  13.  15.  15.   0. 
 20.  20.  47.  48.   1.    2.  26.  26.   0.  32.  36.   0.   7.  32.  32.   0. 
  4.   5.   0.   0.   4.    5.   0.   0.  17.  40.  11.  17.  29.   0.   0.  36. 
 22.  22.   7.   7.  15.   15.   0.   0.  18.   9.  21.  18.  30.   0.   0.  18. 
 21.  21.   0.   0.  17.   18.   3.   4.  11.  12.  34.   0.   0.  12.  12.   5. 
 35.  36.  22.  22.  12.   12.   1.   2.  13.  43.   0.  18.  13.   0.   0.  13. 
 21.  21.  31.  31.   0.    0.  10.  10.  21.   0.   1.   8.   8.  14.   0.   8. 
  0.   0.  13.  13.  16.   16.  29.  29.  31.   0.   0.  13.  13.  14.  20.  13. 
 15.  15.   0.   0.  25.   25.  15.  16.  36.   0.   0.   0.   0.   0.   0.  20. 
 20.  20.   5.   6.  54.   54.  28.  29.  12.   0.   0.  12.  12.   3.   0.  13. 
  0.   0.   5.   6.  25.   25.  30.  31.   0.  44.  37.   0.  36.  37.  37.  26. 
  7.   7.   5.   5.  12.   12.   0.   0.  17.   0.   0.  37.  36.   0.  16.  17. 
  0.   0.  11.  11.  11.   12.  12.  12.   0.  22.  22.   0.   0.  36.  22.  35. 
  4.   4.  25.  25.  33.   33.   4.   4.   0.  41.  41.   0.  36.  41.  41.  57. 
  1.   1.  30.  30.  27.   27.   2.   2.   0.  22.  22.  28.   7.  22.  22.   0. 
 51.  51.   8.   8.  22.   22.  21.  21.  30.  25.   0.  30.  30.   0.   0.  30. 
  0.   0.  13.  14.   5.    5.   8.   9.   0.  14.  14.  64.   3.  14.  20.   0. 
 16.  16.  23.  23.   0.    0.  39.  39.  12.   0.   0.  28.   6.   0.  42.   6. 
  9.   9.  10.  10.   0.    0.   4.   4.  23.  16.  16.   0.   0.  16.  16.   0. 
  8.   9.  21.  21.  37.   38.   8.   8.  10.   0.   0.  10.  24.   0.  22.  10. 
  8.   9.   0.   0.   5.    5.   3.   4.  18.   0.  49.  16.  16.   0.   0.  38. 
  3.   3.   0.   0.   3.    3.   0.   0.  50.   0.  26.  11.  11.  10.   0.  20. 
 20.  20.   4.   4.  24.   24.   0.   0.   0.   3.  21.   0.  34.   3.   3.  54. 
 21.  21.   5.   6.   8.    8.   7.   8.  39.   3.  33.  39.  39.   0.   0.  39. 
 16.  16.   0.   0.  16.   16.   0.   0.   0.  26.  20.  20.  26.  20.  36.   0. 
 23.  24.   0.   0.  19.   19.  20.  21.  37.  27.  27.   0.   0.  27.  27.  33. 
  0.   0.  37.  37.  26.   26.  31.  31.   0.  10.  10.   0.  43.  10.  10.  24. 
  0.   0.  19.  20.  12.   12.  31.  32.  44.   0.   0.  28.  28.  42.   0.  36. 
  0.   0.  10.  10.  13.   14.  23.  24.   2.  30.   0.   2.  18.   0.  10.   2. 
 13.  13.  19.  19.   0.    0.  18.  18.  30.   6.  25.   0.   0.   6.   6.   0. 
  0.   0.   5.   5.  23.   24.  27.  27.   2.   0.   0.   2.   2.  16.  29.   2. 
 16.  16.   7.   7.   9.    9.   0.   0.  19.   0.   0.  35.  14.  26.   0.  14. 
  0.   0.  15.  16.   4.    4.  19.  20.  40.   0.   0.  10.  10.  50.  40.  10. 
  0.   0.  11.  12.   0.    0.  11.  12.  44.   0.   0.  16.   2.  18.  25.   2. 
  8.   8.  55.  56.  27.   28.  20.  20.   2.   0.  16.   2.  42.   0.   0.   2. 
 15.  15.   0.   0.  12.   12.   3.   3.  24.  26.  44.   0.   0.  26.  26.  16. 
  7.   7.  12.  12.   3.    3.  21.  22.  46.   0.   0.   8.   8.   0.   1.   8. 
  0.   0.   2.   2.   8.    8.  10.  10.   0.  19.   8.   0.   8.   8.  37.   0. 
  1.   1.  22.  23.  21.   21.   1.   1.   1.   0.  12.   1.  39.   0.   0.   1. 
  7.   7.  20.  20.  11.   11.   2.   2.   0.  28.  28.  18.  33.  28.  28.   0. 
  2.   2.   1.   1.  10.   10.  13.  13.  12.  60.   0.  12.  12.   0.   0.  14. 
  0.   0.  19.  19.  20.   20.  10.  10.   0.  38.  38.   0.  21.  38.  38.  11. 
  0.   1.  13.  14.  56.   57.  42.  43.   0.   7.   7.   0.   0.  10.   7.   1. 
 24.  24.  26.  27.   0.    0.  32.  33.  54.   0.  10.   8.   8.   0.   0.   8. 
  0.   0.  10.  10.   7.    7.   7.   7.   0.  17.  17.   0.   6.  17.  26.   0. 
  0.   1.   4.   4.   4.    5.   0.   0.   0.   0.  32.   0.   0.   2.   0.   1. 
  0.   0.   8.   9.   0.    0.   8.   9.  54.   0.  42.  18.  18.   9.   0.  36. 
  0.   0.  13.  13.  42.   43.  39.  39.   0.   0.   0.   0.   0.  17.   0.  28. 
 36.  36.  47.  47.   0.    0.  42.  42.   0.  24.  12.  10.   0.  12.  12.   0. 
 13.  14.  19.  19.  32.   33.   0.   0.   0.  20.  32.   0.   0.  40.  20.  14. 
  9.  10.   3.   4.   0.    1.   5.   6.   0.  46.  36.   0.   0.  34.  34.   0. 
  7.   7.   5.   5.   0.    0.  12.  12.  18.  28.  28.  42.   0.  28.  55.   0. 
 16.  17.  35.  36.   2.    3.  16.  17.  42.   0.  43.  42.  42.  27.   0.  42. 
  0.   0.  22.  23.   0.    0.  22.  23.  44.   0.   0.  33.  28.  43.  52.  28. 
  0.   0.  31.  31.  35.   35.  10.  10.   0.   4.   4.   0.  20.   4.   4.  63. 
 12.  12.   0.   0.  12.   12.   0.   0.  10.  24.  30.   0.   0.  31.  24.  24. 
 19.  19.  12.  12.   7.    7.   0.   0.  16.  10.  10.  11.   0.  15.  10.   0. 
  2.   2.   0.   0.   2.    2.   0.   0.  37.   0.  29.   8.   8.  42.   0.  44. 
  3.   3.   0.   0.   1.    1.   2.   2.  14.  18.   0.  43.  14.   0.  10.  14. 
 15.  15.   1.   1.  14.   14.   0.   0.  25.   0.  10.  10.  10.  16.   0.  10. 
  5.   6.   0.   0.   2.    3.   3.   3.  14.   0.   0.  22.   6.   0.  16.   6. 
  0.   0.  22.  23.  18.   19.   4.   4.   2.   0.   0.  34.   2.  33.  10.   2. 
  0.   0.  13.  13.   1.    1.  14.  14.  34.   8.   8.   0.   0.  20.  16.   0. 
 18.  18.  14.  14.  32.   32.   0.   0.   0.  12.  12.  18.   0.  45.  32.   0. 
  0.   0.  22.  22.   0.    0.  22.  22.  44.   2.  14.   0.   0.   6.   2.  18. 
 19.  20.   6.   6.  30.   30.   4.   5.   0.   3.   3.   0.   6.   3.   4.   0. 
 25.  25.  42.  43.   0.    0.  17.  17.  12.   0.   0.  14.  12.  24.   0.  12. 
  3.   4.   0.   0.   6.    7.   3.   3.   1.   8.   8.   0.   0.  14.   8.  16. 
 10.  10.   9.   9.  25.   25.   6.   6.  20.   0.   0.  20.  20.  26.  41.  20. 
 17.  17.  19.  19.   0.    0.  22.  22.   0.  27.  19.  36.   0.  19.  19.   0. 
