  Ax   Bx   By   Cy   Cx   Dx   Dy   Ay   AQ   AL   BQ   BL   CQ   CL   DQ   DL
 19.  19.   0.   0.   9.    9.  10.  10.  10.  28.   0.  44.  10.   0.  20.  10. 
 35.  36.   0.   0.  13.   14.  22.  22.  34.   0.  25.  16.  16.   0.   0.  36. 
 13.  13.   0.   0.  14.   14.   1.   1.   6.  22.   0.   6.   9.   0.   0.  40. 
  0.   0.  13.  13.   1.    1.  12.  12.  33.   0.   0.  42.  33.  50.  42.  33. 
  0.   0.   0.   1.  40.   41.  41.  41.  62.   9.   9.   0.   0.  31.   9.   1. 
 18.  18.  14.  14.   9.    9.   0.   0.   0.  18.  18.  17.  29.  18.  18.   0. 
 20.  20.  28.  28.   3.    4.   4.   5.   0.   2.   2.  26.   0.  16.   2.   0. 
 55.  55.   0.   0.  37.   37.  46.  47.   0.   4.   2.   0.   0.   2.  24.   0. 
 26.  26.  32.  32.   0.    0.   6.   6.   0.  29.   1.  13.  28.   1.   1.   0. 
 35.  35.   7.   8.  29.   29.   0.   0.   0.  10.  10.  25.   3.  10.  10.   0. 
 20.  20.  46.  47.  39.   40.   0.   0.   0.   2.   2.  13.   0.   4.   2.   0. 
 14.  14.  16.  17.   2.    2.   0.   0.  22.   0.   0.  48.  22.  29.   0.  22. 
 27.  27.  21.  21.   6.    6.   0.   0.   3.  30.   7.   3.  17.   0.   0.   3. 
  4.   4.  17.  17.   0.    0.  13.  13.   0.  18.  24.   0.  28.   8.   8.   0. 
  2.   2.  33.  33.  10.   10.  45.  45.  39.  36.  36.   0.   0.  36.  36.  44. 
  0.   0.  26.  26.  15.   15.  11.  11.   0.  27.  42.   0.  39.  27.  27.  34. 
 16.  16.  33.  33.  49.   49.   0.   0.  11.   0.   0.  54.  11.  18.  28.  11. 
  0.   0.   8.   9.   4.    4.  12.  13.   0.  10.   4.   0.   2.   4.   4.  12. 
 22.  22.  15.  15.   7.    7.   0.   0.   0.  38.  18.   3.  44.  18.  18.   0. 
  9.   9.  21.  21.   0.    0.  12.  12.   7.   0.   0.  15.   4.  34.   0.   4. 
 15.  15.   5.   6.   2.    2.  22.  23.  43.  36.  36.   0.   0.  36.  36.  15. 
 36.  36.   0.   0.  26.   26.  15.  16.   0.  10.   4.   0.   0.   4.   4.  30. 
  0.   0.  20.  20.   0.    0.  20.  20.  12.  19.   0.  20.  25.   0.  37.  12. 
 31.  31.  35.  35.   0.    0.  24.  24.  20.  14.   1.  20.  20.   0.   0.  20. 
 30.  30.   6.   6.   0.    0.  28.  28.  16.  35.  35.  32.   0.  35.  35.   0. 
 39.  39.  33.  33.   1.    1.   5.   5.  16.  12.   0.  20.  16.   0.   0.  16. 
  0.   0.   2.   2.   3.    3.   5.   5.  39.   0.   0.  17.  17.  56.  61.  17. 
  0.   0.  18.  19.   0.    0.  18.  19.   0.  33.  64.   0.  21.  10.  10.  32. 
 29.  30.  63.  63.   0.    0.  33.  34.  16.   6.   6.  22.   0.  19.   6.   0. 
 22.  22.   0.   0.  22.   22.   0.   0.   0.  41.  26.   0.  40.  26.  26.  20. 
  0.   0.  11.  11.   0.    0.  11.  11.  10.   0.  52.   0.   0.  14.   0.   8. 
  0.   0.  19.  19.  27.   27.  20.  20.  19.   0.   0.  19.  30.   0.   3.  19. 
  0.   0.  10.  11.   0.    0.  10.  11.  10.  23.  23.  16.   0.  28.  42.   0. 
  0.   0.  25.  25.  34.   34.  18.  18.  20.   0.   0.  20.  20.  10.   8.  20. 
 17.  18.  23.  24.   0.    0.   6.   6.   6.   2.  21.   0.   0.  17.   2.   0. 
 10.  10.   0.   0.   3.    3.   7.   7.  19.   6.   6.   6.   0.   6.  21.   0. 
 22.  22.  11.  11.  11.   11.   0.   0.   0.  27.  39.   0.  13.  20.  20.   0. 
 13.  14.   1.   1.   6.    7.  21.  21.  16.  44.   0.  16.  16.   0.   5.  16. 
  1.   2.   5.   6.   0.    0.   7.   7.  42.  26.  47.   0.   0.  26.  26.  25. 
 23.  24.  27.  28.  23.   23.   0.   0.   0.  12.  12.  19.   9.  12.  12.   0. 
  9.   9.  25.  25.  47.   47.  13.  13.   0.   2.   2.   0.   0.   2.   2.  11. 
 36.  37.  21.  21.  12.   12.   3.   4.  16.   0.   6.  10.  10.   0.   0.  10. 
 16.  17.   0.   0.  20.   20.  13.  14.   6.   0.   0.   2.   2.   0.   1.   2. 
  1.   1.  30.  31.   0.    0.  29.  30.  20.  25.  22.  20.  62.   0.   0.  20. 
  7.   8.   0.   0.  25.   26.  18.  18.  27.  44.  44.   0.   0.  48.  44.  13. 
 24.  25.   0.   0.  27.   28.   8.   8.   5.   0.   0.   0.   0.   0.  20.   0. 
  3.   3.  12.  12.   0.    0.  15.  15.  62.   7.   7.   6.   0.   7.  17.   0. 
 21.  21.   0.   0.  20.   20.  19.  20.  24.  39.   0.  24.  24.   0.   3.  24. 
  6.   6.  11.  11.  33.   34.  17.  17.   0.  15.  15.   0.   0.  24.  15.  26. 
  0.   0.  10.  11.   0.    0.  10.  11.   0.  21.  17.   0.  60.  17.  17.  27. 
 12.  12.   0.   0.  31.   31.  19.  19.  34.   2.   2.   0.   0.  54.   2.  21. 
  0.   0.  45.  45.  27.   27.  18.  18.   8.   0.   0.   8.  42.   0.  44.   8. 
 43.  43.  30.  30.  13.   13.   0.   0.  16.  15.  15.   0.   0.  46.  15.   0. 
  4.   5.   0.   0.   4.    5.   0.   0.  32.  29.  15.  32.  44.   0.   0.  44. 
 25.  25.   2.   2.   4.    4.  31.  31.   7.  17.  17.   0.   0.  17.  17.  42. 
 35.  36.  14.  14.  13.   13.   8.   8.  40.  26.   0.  44.  40.   0.   0.  40. 
 55.  55.  25.  25.  30.   30.   0.   0.   0.  29.  24.   8.  26.  24.  24.   0. 
 23.  23.   0.   0.  23.   23.   0.   0.  54.   0.   4.  13.  13.  12.   0.  34. 
  2.   3.  23.  24.  12.   12.   9.   9.  16.   0.  33.  16.  44.   0.   0.  16. 
  0.   0.   0.   0.   0.    0.   0.   0.   9.   8.   0.  40.  10.   0.   2.   9. 
 25.  25.  26.  26.   0.    0.  16.  16.  29.  19.  19.  33.   0.  19.  19.   0. 
  0.   0.   3.   4.  13.   14.  17.  17.  29.  39.  39.   0.   0.  63.  39.  42. 
 10.  10.  31.  32.   6.    6.  15.  15.  22.   0.  28.  22.  22.   1.   0.  22. 
 22.  22.  11.  11.  31.   31.  63.  64.   9.  16.  16.   0.   0.  16.  16.   5. 
 17.  17.   0.   0.  17.   17.   0.   0.  20.   0.   0.   8.   2.  20.  44.   2. 
  1.   1.   0.   0.   1.    1.   0.   0.  14.  30.  30.   0.   0.  40.  30.  14. 
  0.   0.  36.  37.  28.   29.   8.   8.  10.   0.   4.  10.  46.   0.   0.  28. 
 19.  19.  11.  12.  30.   30.   0.   0.  10.   0.  27.  10.  22.   0.   0.  10. 
  0.   0.   9.   9.   0.    0.   9.   9.   0.  10.  28.   0.   0.  62.  10.  22. 
  7.   7.   0.   0.  22.   22.  21.  21.   0.  53.  21.   0.   0.  21.  21.  16. 
 12.  12.   6.   6.   0.    0.  18.  18.   0.  23.   2.  50.   0.   2.  22.   0. 
 25.  25.   0.   0.  17.   17.  14.  15.  43.   0.   0.  28.  28.   0.  48.  28. 
  0.   0.  24.  24.  14.   14.  38.  38.   0.  41.  23.   0.  38.  23.  44.   0. 
 21.  21.   8.   9.  12.   13.   0.   0.   0.  32.  22.   2.  38.  22.  22.   0. 
  2.   2.   7.   7.  23.   24.  15.  15.  29.   0.   0.  29.  29.  52.  24.  29. 
  2.   3.  12.  13.   0.    0.  15.  15.  21.  31.   0.  26.  21.   0.   5.  21. 
 30.  31.   0.   0.  26.   27.  15.  15.  25.   0.   0.  14.  14.   0.  38.  14. 
 38.  39.   5.   6.  22.   23.  10.  11.   0.  24.  12.  36.   0.  12.  12.   0. 
  2.   2.  15.  15.   0.    0.  17.  17.  34.   0.   0.  21.  14.   0.  44.  14. 
 30.  30.   2.   2.   0.    0.  32.  32.  12.  13.   0.  24.  12.   0.   4.  12. 
  2.   3.  27.  27.   9.   10.  15.  15.   5.   0.   0.  27.   7.   0.   0.   5. 
 22.  23.  30.  31.  53.   54.   0.   1.   8.   0.   0.   8.  14.   0.  38.   8. 
 17.  17.   0.   0.  17.   17.   0.   0.   0.  52.  44.   0.  22.  24.  24.  21. 
  0.   0.  25.  26.  12.   13.  13.  13.  18.   0.   0.  36.  18.  10.   0.  18. 
 21.  22.   0.   0.  50.   50.  28.  29.   0.  19.  16.   0.  45.  16.  30.   0. 
  2.   2.  11.  11.  13.   13.   0.   0.   0.  22.  48.   0.  45.  22.  22.  38. 
 11.  11.   0.   0.  15.   15.   4.   4.  52.   2.   2.   0.   0.  14.  44.   0. 
 33.  33.  49.  50.   8.    8.   8.   9.  11.   0.  18.  11.  26.   0.   0.  11. 
 37.  37.   0.   0.  24.   24.  13.  13.  20.  35.   5.  20.  20.   0.   0.  28. 
  1.   2.  11.  12.  13.   13.   0.   0.   1.   0.   0.   2.   2.   0.  12.   1. 
  2.   3.   3.   3.   5.    6.   0.   0.  16.   0.   0.  34.  16.  55.  32.  16. 
  6.   6.  10.  10.  39.   40.  23.  23.   9.   0.   0.   9.   9.  38.  38.   9. 
  8.   9.  24.  25.  12.   13.   3.   4.  22.   0.   0.  30.  42.   0.   0.  22. 
  9.   9.  15.  15.  55.   56.  32.  32.   0.  22.  22.   0.  24.  22.  28.   0. 
  0.   0.  13.  13.  15.   16.  11.  12.   0.   5.   5.   0.  20.   5.  22.   0. 
  4.   5.   1.   2.   3.    3.   0.   0.  24.   0.  13.   4.   4.  34.   0.   4. 
  3.   4.   0.   0.   3.    4.   0.   0.  58.  10.  10.   4.   0.  42.  34.   0. 
  5.   6.  31.  31.   8.    9.  17.  17.   0.  15.  22.   0.   1.  15.  15.   0. 
 16.  17.   7.   7.  10.   11.   0.   0.  14.   0.   0.  40.  14.  26.   0.  14. 
 16.  17.   2.   2.   5.    5.  23.  24.  45.  20.  20.   0.   0.  20.  20.   7. 
 16.  16.   0.   0.  18.   18.  21.  22.   0.  62.  36.   0.   0.  36.  36.  30. 
  0.   0.  31.  31.   6.    6.  31.  31.   5.   0.   0.   5.  18.   0.   0.  27. 
 25.  26.  32.  32.   0.    0.   6.   7.  46.   0.   7.  12.  12.  22.   0.  12. 
 25.  25.   7.   7.  18.   18.   0.   0.  52.  17.  23.   0.   0.  43.  17.   0. 
  7.   7.   9.   9.  27.   28.  11.  11.   6.   0.   0.   6.   6.  45.   2.   6. 
 12.  12.  11.  12.   2.    2.  25.  26.  21.   4.   4.   0.   0.   4.   4.  34. 
  7.   7.   3.   3.   0.    0.  10.  10.  50.  47.  60.   0.   0.  47.  47.  14. 
 20.  20.   0.   0.  10.   10.  10.  10.  17.  15.  24.  17.  17.   0.   0.  33. 
 38.  38.   0.   0.  16.   16.  22.  22.  46.   8.   8.   0.   0.   8.  34.   0. 
  7.   7.  13.  13.   8.    8.  28.  28.  36.  12.  12.   0.   0.  12.  42.   0. 
  0.   0.   4.   4.  14.   14.  18.  18.   0.  33.  30.   0.  46.  30.  37.   0. 
  1.   1.  15.  15.  19.   19.   3.   3.   0.   8.   8.   0.   3.   8.   8.  36. 
  7.   8.   1.   1.   6.    7.   0.   0.   3.   8.   8.  18.   0.  11.   8.   0. 
 10.  10.  28.  28.  11.   11.  49.  49.   0.  15.   2.   0.   0.   2.  23.   0. 
  6.   6.  28.  29.  16.   16.   7.   7.   0.   6.   6.   0.   7.   6.   6.   0. 
 24.  24.   0.   0.  32.   32.   8.   8.   0.  26.  15.   0.  56.  15.  44.   0. 
  0.   0.  42.  42.  13.   14.  28.  29.   6.   0.  26.   6.  25.   0.   0.  17. 
  7.   7.  24.  24.   0.    0.  31.  31.  12.  62.  22.  12.  12.   0.   0.  51. 
 14.  15.   8.   8.   2.    2.   4.   5.  38.  64.  14.  38.  38.   0.   0.  38. 
 29.  29.  24.  24.   5.    5.   0.   0.   6.  10.   0.   6.  33.   0.   0.   6. 
 14.  14.   3.   3.   3.    3.   8.   8.  14.   8.   8.  61.   0.   8.   8.   0. 
  2.   2.   3.   3.   0.    0.   1.   1.  10.  18.  33.   0.   0.  27.  18.   0. 
 40.  40.  30.  30.  10.   10.   0.   0.  19.  58.   0.  28.  39.   0.   0.  19. 
 17.  17.   5.   5.  31.   31.   9.   9.   8.   0.   0.   8.   8.   7.  29.   8. 
