  Ax   Bx   By   Cy   Cx   Dx   Dy   Ay   AQ   AL   BQ   BL   CQ   CL   DQ   DL
  5.   5.   5.   5.  10.   10.   0.   0.   3.   0.  18.   3.  29.   0.   0.   8. 
  0.   0.   9.   9.   2.    3.  11.  12.   7.  10.  10.   0.   0.  17.  13.   0. 
  4.   4.  12.  13.   0.    0.   8.   9.  18.   0.   0.  11.   5.   7.   0.   5. 
  0.   0.   4.   5.   2.    2.   6.   7.  21.   0.   0.   8.   8.   2.  10.   8. 
  0.   0.   2.   3.   6.    6.   8.   9.   7.   0.   0.   0.   0.  14.   0.  16. 
  0.   1.   1.   2.   0.    0.   1.   1.   2.   0.   0.   2.   2.   1.   0.   2. 
  1.   2.   0.   1.   7.    7.   5.   5.   3.   0.   0.   3.   4.   0.  24.   3. 
 10.  10.  11.  11.   0.    0.   1.   1.  11.   4.   4.  20.   0.  18.   4.   0. 
 13.  14.   0.   0.   9.   10.  23.  23.  38.   0.   0.   0.   0.   0.   0.  26. 
  5.   6.   6.   6.   0.    0.   1.   1.  24.  22.  35.  24.  24.   0.   0.  24. 
  5.   5.   4.   4.   1.    1.   0.   0.   0.  29.  23.   0.  24.   9.   9.   0. 
  0.   0.   2.   3.   2.    2.   0.   1.   4.   0.   5.   4.   4.   6.   0.   5. 
  3.   3.   3.   3.   0.    0.   6.   6.   8.  29.   0.  13.   8.   0.   8.   8. 
 23.  23.   3.   3.  18.   19.   1.   2.  21.   4.  10.   0.   0.   4.   4.   0. 
 11.  11.   0.   0.  11.   11.   0.   0.   8.   0.   0.  10.   6.   8.  17.   6. 
  0.   0.   0.   0.   2.    2.   2.   2.   0.  18.  13.   0.   8.  13.  13.   0. 
  7.   7.   8.   8.   0.    0.   1.   1.  14.   8.   8.  15.   0.  11.   8.   0. 
  1.   1.   5.   5.   0.    0.   6.   6.   9.   9.   0.  15.   9.   0.   7.   9. 
  0.   0.   0.   0.   0.    0.   0.   0.   0.  20.   0.  27.   0.   0.   3.   0. 
  2.   2.   2.   2.  13.   13.   9.   9.   0.  14.  14.   0.  22.  14.  14.  19. 
 24.  25.   1.   2.   4.    4.  19.  19.  26.   0.  10.  24.  24.   0.   0.  24. 
 10.  10.  15.  15.   5.    5.   0.   0.   0.   0.  11.   0.  12.   0.   0.   0. 
  0.   0.   1.   1.   0.    0.   1.   1.  34.   4.   8.   0.   0.  13.   4.   0. 
 11.  12.   0.   0.  11.   12.   1.   1.   0.  13.  13.   0.   0.  13.  13.   0. 
 16.  17.   1.   1.  16.   17.   0.   0.   0.   1.   1.   0.   0.   1.   1.   0. 
  8.   8.   0.   0.   6.    6.   2.   2.   2.   5.  17.   2.   2.   0.   0.   4. 
  0.   0.  15.  16.  11.   11.   4.   4.   2.   0.  25.   2.   9.   0.   0.   2. 
 14.  14.   0.   0.  13.   13.  15.  15.   3.   6.   6.   0.   0.   6.  18.   0. 
  3.   3.   4.   4.   0.    0.   1.   1.   2.   8.  18.   2.  18.   0.   0.   2. 
 22.  22.   7.   7.   8.    8.   7.   7.   6.  14.  14.   5.   0.  14.  14.   0. 
