  Ax   Bx   By   Cy   Cx   Dx   Dy   Ay   AQ   AL   BQ   BL   CQ   CL   DQ   DL
 22.  23.  20.  20.   0.    0.  18.  18.  28.  13.  13.  24.   0.  13.  13.   0. 
 26.  26.  53.  54.  21.   21.   6.   6.   0.  34.  34.  22.  23.  34.  34.   0. 
 22.  23.  13.  14.  53.   54.  17.  18.   0.  22.  22.   0.  14.  22.  22.   3. 
  0.   0.  38.  39.  34.   34.  11.  12.   0.  28.  28.   0.   8.  28.  28.  13. 
  1.   1.   4.   5.   0.    0.   3.   4.   0.  26.  18.  31.  19.  18.  18.   0. 
  2.   3.  34.  35.  39.   39.   2.   2.  10.   0.   0.  10.  10.  15.   0.  24. 
  0.   0.  21.  21.  33.   33.  22.  22.   0.  12.  12.   0.  27.  12.  36.   0. 
  0.   0.   2.   2.  17.   17.  19.  19.  13.  32.   0.  13.  30.   0.  27.  13. 
  0.   0.  12.  12.   0.    0.  12.  12.  17.  38.  18.  17.  56.   0.   0.  32. 
 29.  29.   0.   0.  12.   13.  16.  17.   0.  30.  27.   0.   0.  26.  26.  41. 
  0.   0.   6.   7.   0.    0.   6.   7.   8.  61.  14.   8.   8.   0.   0.  13. 
  0.   0.  21.  21.  10.   11.  10.  11.   0.   0.   0.  21.  40.   0.  19.   0. 
 21.  21.   0.   0.   5.    5.  24.  24.   0.   1.   0.   0.   0.   0.   0.   1. 
 39.  39.   4.   5.   4.    4.  47.  48.  18.  22.  22.   0.   0.  22.  42.   0. 
 34.  34.   0.   0.  54.   55.  54.  55.   0.  41.  12.   0.   0.  12.  12.  31. 
 41.  41.  27.  27.  22.   22.   0.   0.   0.  12.  48.   0.   0.  27.  12.   0. 
 20.  21.   0.   0.  20.   21.   0.   0.  34.  40.  41.  34.  44.   0.   0.  42. 
  0.   0.  17.  18.  11.   12.   6.   6.   0.  22.  24.   0.  19.  22.  22.  35. 
  2.   2.   2.   2.   0.    0.   4.   4.  37.  39.  43.   0.   0.  39.  39.  52. 
  0.   0.  31.  31.  28.   28.   3.   3.   0.   3.  10.   0.   0.  18.   3.  40. 
 16.  16.   0.   0.  21.   21.   5.   5.  21.   0.   0.  16.  16.  14.  64.  16. 
  0.   0.  15.  15.   0.    0.  15.  15.  10.   6.   6.  40.   0.  20.  14.   0. 
  8.   8.   0.   0.   6.    6.   2.   2.  49.  14.  34.   0.   0.  14.  14.  36. 
 32.  32.   1.   1.  10.   10.  21.  21.   4.   9.   0.  24.   4.   0.   0.   4. 
 10.  10.   5.   6.  15.   16.   0.   0.   0.   6.  10.   0.   4.   6.   6.  31. 
  0.   0.  17.  17.  12.   12.   5.   5.   0.   4.  19.   0.   8.   4.   4.  32. 
 20.  20.   0.   0.  21.   21.   1.   1.  56.  45.  45.   0.   0.  46.  61.   0. 
 14.  14.   8.   8.  26.   27.   5.   5.   0.  14.  14.   0.  33.  14.  52.   0. 
  9.   9.   1.   1.  10.   10.   0.   0.   0.  32.  38.   0.  40.  32.  32.   0. 
 16.  16.  23.  23.   0.    0.   7.   7.   0.  25.  18.  29.   2.  18.  18.   0. 
  0.   0.  10.  10.  21.   21.  12.  12.  20.   0.   0.  20.  20.  29.   0.  25. 
 16.  16.   8.   8.  12.   12.  35.  36.  14.  27.   0.  14.  14.   0.  33.  14. 
 13.  13.   7.   7.  35.   35.  15.  15.   4.   0.   0.   4.   6.   0.   0.  14. 
  4.   5.   0.   0.   4.    5.   0.   0.  31.  25.  28.   0.   0.  27.  25.  34. 
 12.  12.  11.  12.   8.    9.  32.  32.  50.  10.  10.   0.   0.  10.  11.   0. 
  0.   0.  29.  29.  39.   40.  13.  13.   0.   9.   9.   0.   3.   9.  33.   0. 
 22.  23.   9.   9.   0.    0.  31.  32.   0.  18.  30.   0.   0.   0.   0.   4. 
  6.   7.   3.   3.   9.   10.   0.   0.   0.  27.  55.   0.  14.  27.  27.  36. 
 13.  13.   8.   8.   3.    3.   2.   2.  17.  10.  10.  20.   0.  10.  10.   0. 
 40.  40.   4.   5.  28.   29.   7.   7.   0.  32.   4.  55.   0.   4.   4.   0. 
  0.   0.  14.  15.   0.    0.  14.  15.  18.  27.   0.  51.  20.   0.  37.  18. 
  3.   3.   4.   4.   0.    0.   7.   7.  31.   0.  30.   3.   3.   0.   0.  52. 
 20.  20.  37.  37.  31.   31.   0.   0.   0.  11.  11.  24.  13.  11.  11.   0. 
 24.  24.  27.  28.  51.   52.   0.   0.   0.  13.  50.   0.  12.  13.  13.  11. 
 21.  21.   0.   0.  15.   15.  17.  18.  41.  24.  24.   0.   0.  24.  24.  16. 
  8.   8.  17.  18.   0.    0.   9.  10.  16.  26.  25.  16.  52.   0.   0.  16. 
 25.  25.   4.   4.  21.   21.   0.   0.   0.  36.  29.  54.  32.  29.  29.   0. 
  0.   0.  23.  24.  17.   17.   6.   7.   0.   1.   1.   6.  45.   1.  27.   0. 
  0.   0.  15.  15.  17.   17.  32.  32.  10.  24.   0.  10.  19.   0.   0.  30. 
  0.   0.  18.  18.   0.    0.  18.  18.   0.  27.  45.   0.  30.  14.  14.  18. 
 10.  11.  31.  32.   0.    0.  21.  21.   0.  20.   4.  31.  30.   4.   4.   0. 
 19.  20.   9.  10.   0.    0.  23.  23.   0.  35.  18.   0.   0.  11.  11.   0. 
 28.  29.   0.   0.  14.   14.  23.  24.  30.   6.   6.   0.   0.   6.  48.   0. 
 36.  36.   0.   0.  11.   11.  25.  26.  16.  36.  36.   0.   0.  36.  48.   0. 
 13.  13.   0.   0.  18.   19.   5.   6.   0.  40.  26.   0.  17.  26.  26.  11. 
 13.  13.   3.   3.   9.    9.   1.   1.   0.  32.  18.   8.   0.  18.  18.   0. 
 21.  22.  27.  28.   0.    0.  25.  25.  29.   0.  29.  20.  20.   0.   0.  20. 
  4.   4.   1.   1.  10.   11.   5.   5.   0.  10.  10.   0.   8.  10.  46.   0. 
 28.  28.  12.  12.  16.   16.   0.   0.  18.  14.  11.  18.  18.   0.   0.  18. 
 31.  32.   8.   8.  27.   28.   0.   0.  16.   0.   0.  23.  16.   1.   0.  16. 
 17.  18.   1.   2.   7.    7.   9.   9.  17.   6.  44.   0.   0.   6.   6.   0. 
  0.   0.   4.   5.   3.    3.   7.   8.   0.  48.  26.   0.  51.  26.  26.   6. 
 22.  23.  19.  19.   3.    4.   0.   0.   2.  33.   3.   2.  18.   0.   0.   2. 
 45.  46.   4.   5.  31.   32.   9.  10.  18.   0.  23.  14.  14.   0.   0.  14. 
 10.  10.   0.   1.  15.   15.  25.  26.   0.  25.  17.   0.   0.  17.  17.   0. 
