  frez       Ax       Bx       By       Cy       Cx      Dx        Dy       Ay
3613.77	111	114	101	108	109	129	121	123
3837.17	108	115	24	22	106	112	13	8
3844.72	-16	-31	121	122	-25	-8	130	115
3895.03	132	139	137	121	120	129	134	130
3985.3	127	-127	-15	15	86	-86	-5	5
3986.5	82	-82	-51	51	-117	117	26	-26
3993.19	12	-12	112	-112	4	-4	77	-77
3996.11	11	-11	72	-72	-14	14	-124	124
