  Ax   Bx   By   Cy   Cx   Dx   Dy   Ay   AQ   AL   BQ   BL   CQ   CL   DQ   DL
  0.   0.  30.  30.   4.    4.  26.  26.   0.  14.  19.   0.   0.  18.  14.   4. 
 40.  40.   0.   0.   6.    6.  34.  34.  26.   0.  27.   6.   6.   0.   0.   6. 
  9.   9.   8.   9.  16.   16.  33.  34.  41.  38.  38.   0.   0.  38.  38.  26. 
  1.   2.  15.  16.   0.    0.  17.  17.  38.  52.  50.  38.  38.   0.   0.  58. 
 20.  21.   0.   0.  31.   32.  11.  11.   0.  50.  22.   0.  41.  22.  22.  35. 
 30.  30.  40.  41.   0.    0.  42.  43.   0.  41.  20.   0.   0.  17.  17.   0. 
 28.  28.   3.   3.  31.   31.   0.   0.  14.   0.   0.  15.  17.   0.  52.  14. 
 28.  28.   0.   0.  16.   16.  26.  26.  24.   0.   0.   6.   6.   0.   0.  28. 
 34.  34.  14.  14.   0.    0.  24.  24.  20.  20.  44.   0.   0.  20.  20.   0. 
 41.  42.   0.   0.  14.   14.  27.  28.   0.  37.  18.   0.   0.  18.  18.  39. 
 19.  19.   4.   5.   0.    0.  20.  21.  23.  32.  32.  15.   0.  32.  32.   0. 
 13.  13.   2.   2.  21.   21.   6.   6.  14.   0.   0.  14.  14.   0.   2.  14. 
  0.   0.  21.  22.  23.   23.  10.  11.  12.   0.   0.  12.  12.  10.   5.  12. 
  0.   0.  28.  28.  14.   15.  42.  43.  40.   0.   0.  16.  16.  19.  21.  16. 
  0.   0.  10.  11.   0.    0.  10.  11.  47.   0.  16.   9.   9.   6.   0.  30. 
 17.  17.   9.  10.   7.    8.   0.   0.   8.   9.   0.  12.  12.   0.   0.   8. 
 18.  18.  19.  19.  13.   13.   0.   0.   0.  12.  12.  25.  32.  12.  12.   0. 
  0.   0.  30.  30.   9.   10.  22.  23.  16.   0.   0.  16.  16.  28.  42.  16. 
 39.  39.   0.   0.  27.   27.  12.  12.  11.  19.  19.  34.   0.  19.  43.   0. 
  0.   0.  18.  18.  10.   10.   8.   8.   0.   2.   2.  40.  43.   2.  13.   0. 
 32.  33.   0.   0.  21.   21.  29.  30.   0.  63.   7.   0.   0.   7.   7.  13. 
 18.  19.   0.   0.  25.   26.   7.   7.   0.  32.  30.   0.  13.  30.  30.   4. 
 13.  13.   0.   0.  17.   17.  23.  23.   7.   4.   4.   0.   0.   4.   4.  14. 
  0.   0.  22.  23.  16.   16.  38.  39.  13.  10.  10.   0.   0.  46.  13.   0. 
 10.  10.   3.   3.  25.   25.  12.  12.   0.  22.  22.   0.   7.  22.  22.  12. 
 39.  39.  25.  26.   0.    0.  22.  23.  27.  35.   0.  34.  27.   0.   0.  27. 
  6.   7.   6.   7.  39.   40.  26.  27.  18.   0.   0.  18.  44.   0.  41.  18. 
 15.  15.   2.   3.  16.   17.  34.  34.  18.  13.  13.   0.   0.  13.  13.  47. 
  1.   1.   5.   5.   6.    6.   0.   0.   0.  17.  45.   0.  27.  17.  17.  64. 
 30.  30.  38.  38.  32.   32.   0.   0.   0.  18.  18.  26.   0.  52.  18.   0. 
  0.   0.   4.   4.   6.    6.   2.   2.   9.   0.   0.   9.   9.  19.  45.   9. 
  9.  10.   0.   0.   9.   10.   0.   0.  48.  10.  10.  14.   0.  12.  42.   0. 
  6.   6.  24.  25.   5.    6.  36.  36.  18.  43.   0.  18.  18.   0.   4.  18. 
 20.  20.  25.  26.   2.    2.   3.   3.   0.  28.  28.  24.  57.  28.  28.   0. 
 31.  31.   7.   8.   6.    6.  17.  18.  12.  11.  25.  12.  12.   0.   0.  12. 
  7.   7.  13.  13.   0.    0.  20.  20.   0.  35.  43.   0.   0.  28.  28.  10. 
 13.  13.  29.  29.   0.    0.  16.  16.  22.   0.   0.  29.   8.  37.   0.   8. 
 13.  13.  14.  14.  43.   43.  16.  16.   0.  15.  15.   0.  14.  15.  53.   0. 
  9.   9.   4.   4.   5.    5.   0.   0.   0.  11.  11.   2.   0.  17.  11.   0. 
  0.   0.   1.   1.   0.    0.   1.   1.   8.   8.   8.  32.   0.  29.  15.   0.  
