  Ax   Bx   By   Cy   Cx   Dx   Dy   Ay   AQ   AL   BQ   BL   CQ   CL   DQ   DL
 25.  25.   0.   0.  29.   29.  26.  26.  42.   0.   0.  21.  21.   0.   0.  21. 
 30.  30.  12.  12.  13.   14.  55.  56.   0.  35.   1.   0.   0.   1.  27.   0. 
  0.   0.  22.  22.  15.   15.   7.   7.   0.   3.  44.   0.  22.   3.   3.  12. 
  7.   7.   0.   0.   7.    7.   0.   0.  54.   0.  52.  44.  44.  38.   0.  63. 
 17.  17.   8.   8.   0.    0.  25.  25.   0.   6.  34.   0.   0.   0.   0.   3. 
  0.   0.  20.  20.   3.    3.  23.  23.   8.  15.  15.   0.   0.  50.  15.  19. 
  0.   0.   7.   7.   5.    5.  12.  12.  32.   1.   1.   0.   0.  28.  16.   0. 
 11.  12.  13.  13.   0.    0.  18.  18.  14.   8.   8.  41.   0.   8.   8.   0. 
  0.   0.   1.   1.   0.    0.   1.   1.  35.  20.  60.  35.  54.   0.   0.  36. 
 10.  10.  52.  53.  21.   21.  21.  21.  10.   0.   0.  16.  10.   2.   0.  10. 
 36.  37.  16.  16.  12.   12.   8.   8.  18.   0.   0.  28.   0.   0.   0.   0. 
  7.   8.  14.  15.   4.    4.  26.  26.   5.   6.   0.   5.   5.   0.   0.  50. 
 25.  26.  20.  20.   1.    1.   4.   4.  21.  24.  24.   7.   0.  24.  24.   0. 
  3.   3.   0.   0.   3.    3.   0.   0.   2.   1.   1.  34.   0.  23.  25.   0. 
  0.   1.  20.  20.  11.   12.  32.  32.  20.   1.   1.   0.   0.   1.   1.  34. 
  0.   0.   8.   8.   7.    7.   1.   1.  19.   0.  48.  19.  53.   0.   0.  28. 
 15.  15.  20.  20.   2.    2.   3.   3.   0.  12.  12.   0.  42.  12.  12.   0. 
 23.  23.  19.  19.   0.    0.  30.  30.   0.  26.  26.   0.   0.  26.  26.   0. 
  0.   0.  14.  15.  14.   15.   0.   0.   0.   0.  10.   0.  50.   0.   0.  18. 
 12.  12.   6.   6.  18.   18.   0.   0.   0.  22.  46.   0.  49.  22.  22.  12. 
  3.   4.  12.  12.  15.   16.   0.   0.   0.   4.  12.   0.  50.   4.   4.  17. 
 31.  32.  15.  15.   0.    0.  22.  23.  14.  19.   1.  14.  14.   0.   0.  14. 
  6.   7.  14.  14.   3.    4.  24.  24.   2.   6.   6.   0.   0.   6.   7.   0. 
  0.   0.  13.  14.  11.   12.   2.   2.   0.   0.   4.   0.   0.   8.   0.  20. 
 18.  18.   0.   0.  20.   20.   2.   2.  22.   1.   1.   0.   0.  18.   1.  24. 
 32.  32.  34.  34.  55.   55.   0.   0.   0.  14.  14.  26.   0.  24.  14.   0. 
  0.   0.  20.  20.  13.   13.   7.   7.   3.   0.   0.   5.  14.   0.   8.   3. 
 42.  43.  16.  17.  28.   28.   0.   0.   4.   0.   0.  10.   4.  12.   0.   4. 
 20.  20.  25.  26.   5.    5.   0.   0.   0.   6.   6.  23.  30.   6.   6.   0. 
 15.  15.   8.   8.  23.   23.   0.   0.   0.   4.  11.   0.   0.  11.   4.  40. 
  0.   0.  15.  15.   0.    0.  15.  15.  20.  30.   0.  26.  42.   0.   8.  20. 
 19.  19.   6.   6.  25.   25.   0.   0.   0.   3.  14.   0.   6.   3.   3.  28. 
  2.   2.   0.   0.   4.    4.   2.   2.  21.  50.   0.  21.  32.   0.   0.  22. 
  0.   0.   5.   5.  11.   11.  16.  16.  28.   0.   0.  15.  15.  44.   0.  43. 
  0.   0.  15.  15.   9.    9.   6.   6.   0.  20.  20.  32.  44.  20.  51.   0. 
 27.  27.  17.  17.  61.   61.  17.  17.   0.   9.   9.   0.   0.  23.   9.  12. 
 22.  23.   0.   0.  35.   35.  12.  13.   0.   3.   0.   0.  14.   0.   0.  14. 
 12.  13.   0.   0.  21.   22.   9.   9.  17.   0.   0.  17.  40.   0.  33.  17. 
 19.  19.   7.   7.  26.   26.   0.   0.   0.  24.  24.  59.   6.  24.  37.   0. 
 37.  37.  16.  17.  44.   44.   0.   0.  25.   0.   0.  25.  25.  59.   0.  25. 
  0.   0.  31.  31.  14.   14.  17.  17.   6.   0.  42.   6.   6.  11.   0.  26. 
 14.  14.   1.   1.  27.   27.  12.  12.   0.   0.   0.   0.  25.   0.  42.   0. 
  0.   0.   6.   6.  11.   12.  17.  18.  18.  12.   0.  18.  38.   0.   1.  18. 
 16.  16.  19.  20.  24.   24.   0.   0.   5.   0.   0.   5.   5.  42.   0.   5. 
  5.   5.  25.  25.   0.    0.  20.  20.  18.  24.  13.  18.  18.   0.   0.  18. 
 23.  23.   0.   0.   5.    5.  22.  22.   8.  34.   0.   8.   8.   0.  30.   8. 
 34.  35.   0.   0.  10.   11.  24.  24.  12.  22.   0.  22.  12.   0.  50.  12. 
  0.   0.   5.   5.  24.   25.  23.  24.   8.   0.   0.   8.   8.  26.   0.  22. 
  1.   1.   2.   2.   8.    8.  11.  11.   0.  12.   6.   0.   0.   6.   6.  35. 
  9.   9.  10.  10.  30.   31.  12.  12.   0.  13.  13.   0.   0.  25.  13.  42. 
  0.   0.  16.  16.   0.    0.  16.  16.   6.   0.  14.   1.   1.  36.   0.  16. 
  0.   0.  25.  25.  31.   32.  42.  42.  22.   0.   0.  22.  22.  15.   9.  22. 
 22.  23.   7.   7.  35.   36.   6.   6.   8.   0.   0.   8.  32.   0.   0.  18. 
  9.   9.   0.   0.   6.    6.   3.   3.   0.   6.   0.   4.   0.   0.   7.   0. 
  5.   5.   2.   2.   0.    0.   7.   7.  28.   0.   0.  26.   7.   0.  18.   7. 
  5.   5.  14.  14.   0.    0.  19.  19.  24.   0.   0.  32.  14.   0.  64.  14. 
 32.  32.  18.  18.  14.   14.   0.   0.  20.   5.   5.  52.   0.  16.   5.   0. 
 21.  21.  43.  44.   7.    7.  15.  15.  28.   0.  17.  28.  28.  16.   0.  28. 
 20.  21.   7.   8.  22.   22.   0.   0.   0.  24.  28.   0.  25.  24.  24.   0. 
  3.   3.   4.   4.   0.    0.   7.   7.   8.  10.  10.   8.   8.   0.   0.  38. 
  6.   6.   0.   0.   4.    4.   2.   2.   0.  28.   2.   8.   0.   2.   3.   0. 
 24.  24.   8.   9.  32.   33.   0.   0.   0.   6.  14.   0.   2.   6.   6.  11. 
 17.  18.   1.   2.  17.   18.  36.  37.  20.  31.  31.   0.   0.  31.  50.   0. 
 11.  12.   2.   2.   5.    5.   4.   5.  42.   0.  24.  14.  14.   0.   0.  14. 
  7.   7.   0.   0.   7.    7.   0.   0.  21.  46.   8.  21.  22.   0.   0.  48. 
  4.   4.  37.  38.   0.    0.  33.  34.  28.   0.  11.   5.   5.  27.   0.   5. 
  4.   5.  10.  11.  15.   15.   0.   0.  25.   0.  36.  25.  42.   0.   0.  29. 
 20.  21.   2.   2.  10.   10.   8.   9.   6.   0.  35.   4.   4.   0.   0.   4. 
 38.  38.   0.   0.  57.   58.  61.  62.  18.   4.   4.   0.   0.   4.  14.   0. 
 16.  16.   1.   1.   0.    0.  17.  17.   3.  17.   0.  32.   3.   0.   0.   3. 
  0.   0.  30.  30.  28.   29.   1.   2.   3.   0.   0.  49.   3.  16.  16.   3. 
 15.  15.  18.  18.   0.    0.  30.  30.   8.  31.   0.  18.   8.   0.   0.   8. 
  9.  10.  30.  30.   7.    8.  47.  47.   6.  13.   0.   6.   6.   0.   7.   6. 
 17.  18.   4.   4.   5.    6.   8.   8.   1.   9.   9.   0.   0.   9.   9.   0. 
 11.  11.  27.  27.   0.    0.  16.  16.   0.  10.   5.   2.  22.   5.   5.   0. 
  0.   0.  16.  16.   0.    0.  16.  16.   0.  24.  42.   0.  23.   4.   4.  38. 
 23.  24.  32.  32.   1.    1.   7.   8.   0.  19.  30.   0.   8.  19.  19.   0. 
  4.   4.   8.   9.  12.   13.   0.   0.  12.   0.   0.  36.  18.   0.  52.  12. 
 14.  15.   0.   0.  29.   29.  41.  42.  21.   2.   2.   0.   0.   2.  14.   0. 
  8.   9.  40.  41.   0.    0.  32.  32.  14.   0.   0.  16.  14.  50.   0.  14. 
 19.  19.   8.   8.  29.   30.   3.   3.  30.   0.   0.  30.  30.   2.   7.  30. 
