  Ax   Bx   By   Cy   Cx   Dx   Dy   Ay   AQ   AL   BQ   BL   CQ   CL   DQ   DL
  0.   0.  10.  10.   5.    5.  15.  15.   7.   1.   0.   7.  21.   0.   0.  11. 
  0.   0.  12.  12.  10.   11.  11.  11.  10.   0.   0.  10.  10.  27.  15.  10. 
  7.   7.   2.   2.   9.    9.   0.   0.   1.   0.   0.  10.   4.   0.  16.   1. 
 13.  13.  15.  16.  17.   17.   0.   0.   8.   0.  27.   8.  10.   0.   0.   8. 
  0.   0.   8.   9.   4.    5.  13.  13.  11.   7.   7.   0.   0.  13.   7.   1. 
 14.  15.   0.   0.   9.   10.   5.   5.   6.  10.  26.   0.   0.  10.  10.   4. 
 19.  19.   6.   7.   0.    0.  14.  15.  16.   1.  32.  16.  16.   0.   0.  16. 
  9.  10.   4.   4.   4.    4.   2.   2.  14.  35.   0.  28.  14.   0.   0.  14. 
  0.   0.   9.   9.   2.    2.   7.   7.   0.  12.  31.   0.   0.  17.  12.  38. 
  6.   7.   0.   0.   2.    2.   8.   9.   4.   1.   1.   0.   0.   1.   5.   0. 
  3.   4.   0.   0.   3.    4.   0.   0.   0.  14.   6.   0.  25.   2.   2.  10. 
  2.   3.   1.   2.   4.    4.   0.   0.   0.   6.   6.  13.   0.  10.  20.   0. 
  0.   0.   2.   2.   0.    0.   2.   2.  15.  14.   0.  20.  23.   0.   4.  15. 
  0.   0.   4.   4.   9.   10.  13.  14.  11.   1.   1.   0.   0.  16.  21.   0. 
  6.   6.   3.   3.   9.    9.   0.   0.   2.   0.   7.   2.   2.   6.   0.   3. 
 13.  13.   2.   3.   6.    6.   4.   5.  16.  16.  16.   8.   0.  16.  16.   0. 
 39.  40.  22.  22.  13.   13.   4.   4.   4.  10.  25.   0.   0.  10.  10.   0. 
 10.  10.   8.   8.  14.   14.  31.  32.   6.   0.   0.   4.   4.   0.   0.  20. 
  2.   2.   2.   2.   0.    0.   0.   0.   0.  14.   0.   1.  11.   0.   0.   0. 
  0.   0.   5.   6.   3.    4.   2.   2.   3.   0.   0.  15.   8.   0.   6.   3. 
  0.   0.  17.  18.  19.   20.  11.  11.  12.   0.   0.  12.  14.   0.  10.  12. 
  9.  10.  29.  30.   0.    0.  20.  20.   0.  32.  24.   0.   7.  23.  23.   0. 
  8.   8.   0.   0.   5.    5.   3.   3.  37.   7.   7.   6.   0.   7.  28.   0. 
  3.   3.   0.   0.   1.    2.   1.   2.   3.   0.   0.  29.   0.   0.   6.   0. 
  1.   2.   0.   1.   2.    2.   0.   0.   0.  12.  16.   0.   0.  20.  12.  12. 
 15.  15.  18.  18.   0.    0.   3.   3.   0.  24.   1.   0.  10.   1.   1.   0. 
 26.  27.  11.  11.   9.    9.   7.   7.   2.   4.  20.   0.   0.   4.   4.   0. 
  2.   3.  14.  15.   0.    0.  12.  12.  19.   0.   0.  10.   5.   5.   0.   5. 
  3.   3.   6.   6.  18.   18.   9.   9.   3.   0.   0.   3.   3.   2.   0.   5. 
 10.  10.   6.   6.   4.    4.   0.   0.  17.   0.   2.  12.  12.   4.   0.  12. 
  8.   9.  22.  23.   7.    8.   6.   7.   7.   0.   0.  28.   7.  18.   0.   7. 
 19.  20.  11.  11.   0.    0.   8.   8.  10.   6.   6.  29.   0.   6.   6.   0. 
