  Ax   Bx   By   Cy   Cx   Dx   Dy   Ay   AQ   AL   BQ   BL   CQ   CL   DQ   DL
  1.   1.   4.   5.   0.    0.   4.   5.   0.   2.   2.   0.   0.   2.   2.   0. 
  0.   0.   0.   0.   0.    0.   0.   0.   0.   2.   2.   0.  12.   0.   0.  14. 
  0.   0.   9.   9.   0.    1.   9.  10.  12.   4.   4.   0.   0.  18.   4.  12. 
  1.   2.  28.  28.  21.   22.   5.   5.  10.   0.  15.  10.  10.   2.   0.  10. 
  5.   5.   0.   0.   3.    3.   2.   2.   1.  25.   0.  24.   1.   0.  16.   1. 
  8.   8.   0.   0.  17.   17.  11.  11.   0.   6.   3.   0.   0.   3.   5.   0. 
  6.   6.   0.   0.  12.   12.   6.   6.  35.   0.   0.   7.   7.   8.  20.   7. 
 17.  17.   0.   0.  17.   17.   0.   0.   1.   6.   6.   1.   0.   6.   6.   0. 
  6.   6.   5.   5.   5.    5.   0.   0.   3.   0.   2.   3.  11.   0.   0.   3. 
  0.   0.  15.  15.   7.    7.   8.   8.   0.   3.  19.   0.   0.  26.   3.  10. 
 18.  19.  27.  27.   0.    0.  10.  10.  25.  38.   0.  26.  25.   0.   0.  25. 
  9.   9.   7.   8.  10.   11.   0.   0.   0.   2.   2.   7.   0.   6.   2.   0. 
  0.   0.   9.   9.   0.    0.   9.   9.  25.   0.  10.  18.  18.   6.   0.  29. 
  7.   8.  14.  15.   5.    5.   2.   2.   1.   0.  24.   1.  22.   0.   0.   1. 
  8.   9.   0.   0.   8.    9.   0.   0.  20.   0.   0.  22.  12.  33.  16.  12. 
  0.   0.   9.   9.   6.    6.  15.  15.  18.  10.  10.   0.   0.  23.  10.  12. 
 24.  24.   4.   4.  17.   17.   3.   3.   8.  20.   1.   8.   8.   0.   0.   8. 
  8.   8.   2.   2.  10.   10.   0.   0.   2.   0.  32.   2.   2.  16.   0.  12. 
  0.   0.   1.   1.   0.    0.   1.   1.   8.   3.  27.   0.   0.   6.   3.  26. 
  6.   7.  14.  14.   5.    5.  25.  26.  14.   0.   0.   6.   6.   0.   4.   6. 
  6.   6.   8.   9.   0.    0.   5.   6.   0.  14.   4.   5.   0.   4.   4.   0. 
  0.   1.   0.   1.   0.    1.   1.   2.   0.   0.   0.   0.   0.   0.   0.   0. 
  0.   0.  20.  21.  11.   11.   9.  10.   8.   0.   0.   8.   8.  14.   0.  16. 
  0.   0.   3.   3.   2.    2.   1.   1.   1.   0.   0.  12.  26.   0.  26.   1. 
  7.   8.   1.   2.   3.    4.   2.   3.   7.   7.   0.  12.   7.   0.   0.   7. 
  0.   0.   3.   4.   6.    7.  10.  10.   2.  35.   0.   2.   6.   0.  12.   2. 
  0.   0.  11.  11.  18.   18.  11.  11.  10.   0.   0.  10.  10.   2.   7.  10. 
