  frez       Ax       Bx       By       Cy       Cx      Dx        Dy       Ay
2912.963   -2.183   -2.139    2.362    2.413    2.297    2.183   -2.155   -2.259 
3064.902    1.588    1.548    2.570    2.528    1.510    1.854    3.122    2.784 
3081.074   -2.021   -2.136    2.311    2.024   -3.130   -3.352    0.959    1.235 
3104.791    2.764    3.275    2.109    1.620   -0.897   -1.907   -2.880   -1.802 
3152.578    0.704   -0.826   -3.647    3.646    2.104   -1.897   -1.434    1.874 
3159.450    0.006   -0.676    2.346   -2.965    2.908   -1.920   -2.224    3.126 
3171.371   -1.704    1.617    0.054   -0.207    3.172   -3.203    2.957   -2.687 
3176.626   -4.402    3.953   -0.608    0.437   -0.630    0.837   -1.405    1.845 
2907.972   -2.329   -2.414    2.327    2.390    2.255    2.191   -2.043   -1.989 
3063.591    3.414    3.634    0.716    0.861    2.843    2.606   -0.226   -0.250 
3074.111    0.182    0.335    3.482    3.583   -1.065   -1.226    2.629    2.592 
3107.678   -1.563   -1.443   -1.400   -1.272    2.879    2.355    3.006    3.260 
3146.790    4.553   -4.374   -0.644    0.694    0.311   -0.228    0.495   -0.317 
3153.209    0.703   -0.637    4.544   -4.422   -0.191    0.423    0.251   -0.075 
3164.005    0.246   -0.241   -0.319    0.377   -4.305    4.743   -0.117    0.533 
3181.437   -0.494    0.330   -0.170    0.085   -0.238    0.434    4.627   -4.485 
2922.184    2.362    2.247   -2.164   -2.233   -2.279   -2.240    2.217    2.320 
3073.951    2.585    3.058    2.552    1.992    2.238    2.236    1.466    1.635 
3090.759    1.956    1.913   -2.678   -2.563    1.921    2.046   -2.562   -2.492 
3112.607   -1.166   -2.454   -2.422   -1.309    2.391    2.739    2.700    2.473 
3163.119    4.029   -3.105   -1.662    2.711    0.705   -1.230   -1.640    1.005 
3174.719   -1.630    1.150    0.032   -0.634    4.208   -3.789   -1.463    1.849 
3178.337    0.236   -0.787    2.099   -2.394   -1.465    1.624   -3.586    3.684 
3181.930   -2.293    2.396   -3.186    3.341   -1.348    1.220   -1.787    1.837 
2921.855    2.232    2.283   -2.362   -2.311   -2.151   -2.205    2.281    2.237 
3076.013    0.917    0.882   -3.054   -3.300    1.659    1.379   -2.738   -2.733 
3086.839    3.158    3.275    1.561    1.315    2.797    2.713    0.920    0.930 
3112.347    2.149    2.077    1.403    2.004   -2.768   -2.126   -2.563   -2.823 
3162.556    0.036    0.078    4.520   -4.097    1.021   -1.731    0.280   -0.571 
3171.448    3.176   -3.218   -0.444    0.410    0.519   -0.330    3.306   -3.129 
3176.679    3.335   -3.170    0.319   -0.228    0.088   -0.215   -3.227    3.197 
3181.201    0.354   -0.481    1.201   -1.556   -4.190    4.486    0.436   -0.232 
2899.655    2.377    2.154   -1.924   -2.059   -2.370   -2.483    2.257    2.237 
3051.242    3.167    2.902    0.476    0.291    3.104    3.324    0.506    1.023 
3075.295   -0.410   -0.473    3.287    3.678   -0.439   -0.828    3.046    2.553 
3098.648    1.953    2.797    2.144    2.016   -1.928   -1.837   -2.993   -2.212 
3136.325    0.053    0.180    0.052   -0.236    4.635   -4.364    0.144   -0.517 
3144.525    3.992   -4.093   -0.921    1.226    0.022   -0.418   -1.930    1.478 
3165.515    1.889   -0.999   -1.063    1.168   -0.280    0.277    3.667   -4.591 
3171.739    1.335   -1.484    4.515   -4.071   -0.243    0.070    0.602   -0.713 
2917.805    2.271    2.256   -2.333   -2.230   -2.098   -2.143    2.309    2.384 
3070.342    0.519    0.192    2.670    2.568    0.960    1.717    3.679    3.130 
