  frez       Ax       Bx       By       Cy       Cx      Dx        Dy       Ay
4289.519   -1.014    0.970    3.113   -3.088    1.946   -1.989   -0.512    0.530 
4295.219    0.596   -0.667    1.570   -1.578   -1.361    1.290    3.178   -3.188 
4297.200    2.932   -2.936   -0.414    0.495    2.357   -2.362    0.667   -0.586 
4311.066    2.193   -2.187    1.565   -1.559   -1.886    1.894   -1.992    1.997 
4280.722   -0.155    0.185    0.745   -0.691    3.357   -3.327   -1.685    1.752 
4290.295   -0.774    0.696    3.499   -3.501   -0.104    0.038    1.379   -1.399 
4292.538   -2.809    2.840    0.234   -0.288   -1.318    1.354   -2.246    2.187 
4306.996    2.504   -2.483    1.386   -1.364   -1.299    1.317   -2.209    2.237 
4288.450   -2.603    2.547    2.296   -2.333   -1.599    1.587    0.388   -0.461 
4290.739    1.288   -1.304   -0.910    0.903   -2.868    2.868    1.993   -2.018 
4297.282    1.605   -1.674    2.447   -2.392    1.385   -1.444    2.079   -2.033 
4307.930    1.936   -1.934    1.664   -1.627   -1.378    1.423   -2.522    2.517 
4282.988   -1.002    0.947    3.345   -3.324    1.581   -1.650    0.045   -0.023 
4289.864    1.545   -1.596    0.647   -0.632   -0.484    0.423    3.428   -3.399 
4292.262    3.018   -3.022   -0.082    0.168    2.108   -2.092   -1.057    1.116 
4306.310   -1.474    1.487   -1.760    1.787    2.748   -2.740    1.389   -1.360 
4287.350   -2.527    2.498    2.597   -2.619    1.237   -1.294    0.003    0.001 
4290.553   -2.206    2.234   -0.858    0.769   -2.746    2.739    1.245   -1.291 
4294.211    1.346   -1.399    1.299   -1.280    0.016   -0.090    3.369   -3.325 
4307.723   -1.242    1.277   -2.360    2.381    2.381   -2.363    1.407   -1.371 
4270.589   -0.106    0.065    3.563   -3.552    1.349   -1.421    0.077   -0.043 
4283.805   -0.090    0.049    0.974   -1.028   -2.718    2.671    2.510   -2.555 
4290.697    3.099   -3.091   -0.471    0.514    1.355   -1.385    1.779   -1.704 
4300.398    2.286   -2.247    0.819   -0.835   -1.887    1.921   -2.296    2.294 
4290.203    0.793   -0.794   -2.099    2.067   -2.559    2.561    1.778   -1.814 
4292.890   -1.687    1.748   -2.116    2.095   -0.622    0.702   -2.649    2.611 
4297.127    2.878   -2.837   -1.706    1.772    1.691   -1.647   -0.858    0.930 
4310.022   -1.746    1.730   -1.705    1.733    2.235   -2.230    1.953   -1.952 
4274.160    0.836   -0.900    0.051   -0.046   -1.113    1.054    3.565   -3.559 
4284.358   -0.882    0.913   -0.852    0.783   -3.528    3.541   -0.869    0.813 
4289.548   -2.472    2.425    2.886   -2.928   -0.189    0.146    0.480   -0.526 
4304.154    2.662   -2.700    2.390   -2.352   -0.997    0.979   -0.968    0.996 
4294.130   -2.343    2.315    2.577   -2.594    1.150   -1.169   -1.161    1.140 
4297.178   -0.941    0.881    1.347   -1.390   -2.573    2.529    2.331   -2.386 
4299.112   -2.026    2.081   -1.833    1.771   -1.931    1.986   -1.897    1.836 
4312.753    2.079   -2.075    1.730   -1.715   -1.750    1.767   -2.101    2.104 
4285.121   -1.505    1.578   -1.144    1.088   -1.428    1.456   -3.004    2.987 
4288.909    0.964   -0.958   -2.051    2.021   -2.690    2.688    1.556   -1.568 
4296.500   -2.240    2.192    2.238   -2.299   -1.854    1.797    1.147   -1.202 
4306.030    2.564   -2.556    2.051   -2.053   -1.463    1.421   -1.356    1.406 
4288.425   -2.946    2.970    0.639   -0.679    0.283   -0.262   -2.360    2.317 
4291.204    0.246   -0.300    2.910   -2.871    2.370   -2.426    0.761   -0.723 
4295.466    1.946   -1.897   -1.060    1.118    1.903   -1.850   -2.496    2.547 
4308.089   -1.486    1.487   -2.170    2.200    2.341   -2.314    1.538   -1.536 
4288.877    0.756   -0.709   -2.968    2.925   -2.281    2.321    0.456   -0.482 
4293.621   -1.109    1.181   -1.156    1.141    0.439   -0.375   -3.460    3.456 
4297.626   -2.699    2.679    1.223   -1.302   -2.445    2.419    0.148   -0.220 
4310.650   -2.390    2.391   -1.778    1.770    1.844   -1.833    1.586   -1.603 
4282.742   -0.793    0.812   -3.598    3.621   -0.765    0.832   -0.607    0.575 
4287.267    3.568   -3.539   -0.973    0.997    0.072   -0.080    1.083   -1.022 
4293.915   -0.635    0.588    0.301   -0.345   -2.782    2.740    2.555   -2.606 
4306.243    1.042   -1.002    0.732   -0.767   -2.535    2.565   -2.591    2.569 
4284.033   -2.869    2.837    2.350   -2.405   -0.083    0.071   -0.974    0.910 
4289.487    0.052   -0.128    1.196   -1.205   -2.164    2.110    2.935   -2.964 
4295.384    1.093   -1.150    1.967   -1.908    2.838   -2.884    1.276   -1.221 
