  frez       Ax       Bx       By       Cy       Cx      Dx        Dy       Ay
4287.049   -3.267    3.240    1.897   -1.943   -0.171    0.161   -0.675    0.615 
4291.003   -0.385    0.367   -0.461    0.415   -3.483    3.479    1.483   -1.542 
4295.622    1.193   -1.272    2.883   -2.846    0.428   -0.494    2.208   -2.182 
4308.022   -1.577    1.569   -1.639    1.623    1.524   -1.558    2.698   -2.691 
4285.166   -3.334    3.360    0.158   -0.205   -0.374    0.410   -1.855    1.782 
4288.642   -0.125    0.124   -1.311    1.270   -3.497    3.516    0.838   -0.890 
4293.740   -0.688    0.616    3.293   -3.298   -0.799    0.743    1.681   -1.701 
4305.723    1.768   -1.732    1.477   -1.474   -1.278    1.303   -2.795    2.808 
4281.195    0.612   -0.664    2.798   -2.737    2.456   -2.524    0.645   -0.590 
4286.232   -2.132    2.165    0.447   -0.456    0.826   -0.790   -3.052    3.025 
4293.430    2.870   -2.845   -1.247    1.301    1.177   -1.129   -1.881    1.921 
4304.049   -1.233    1.235   -2.259    2.309    2.576   -2.535    1.213   -1.208 
4285.135   -0.090    0.071    1.742   -1.690    3.382   -3.392   -0.512    0.556 
4291.228   -2.429    2.386    2.625   -2.678   -1.395    1.353    0.113   -0.167 
4295.464    2.080   -2.147    1.615   -1.586   -0.357    0.298    2.773   -2.751 
4308.002    2.128   -2.110    1.490   -1.475   -1.104    1.114   -2.606    2.629 
4289.654    1.007   -0.996   -2.076    2.045   -2.574    2.583    1.674   -1.701 
4293.244    1.055   -0.977   -2.590    2.614    0.877   -0.801   -2.483    2.511 
4296.118    2.748   -2.777    0.167   -0.091    2.054   -2.083    1.720   -1.650 
4309.861    2.255   -2.267    1.936   -1.921   -1.764    1.767   -1.680    1.683 
4287.428   -1.301    1.254    3.231   -3.213    1.591   -1.644   -0.302    0.313 
4292.501   -3.209    3.240   -0.894    0.830   -1.093    1.134   -1.571    1.501 
4296.722   -0.829    0.777    1.079   -1.128   -2.343    2.287    2.725   -2.771 
4309.883   -1.444    1.432   -1.533    1.553    2.352   -2.362    2.191   -2.178 
4283.868   -2.127    2.081    2.925   -2.929    1.251   -1.307   -0.259    0.258 
4289.887   -2.917    2.953   -1.238    1.149   -2.132    2.161   -0.294    0.220 
4295.519    0.413   -0.469    1.330   -1.354   -1.758    1.690    3.127   -3.135 
4308.244   -1.211    1.215   -1.698    1.717    2.348   -2.359    2.215   -2.185 
4286.969   -1.867    1.896    0.461   -0.444    1.779   -1.725   -2.813    2.810 
4288.308   -2.657    2.662   -1.342    1.280   -2.423    2.436    0.019   -0.095 
4293.409   -1.787    1.738    2.766   -2.793    0.439   -0.515    1.915   -1.924 
4305.811   -0.993    0.988   -2.235    2.283    2.364   -2.342    1.777   -1.759 
4284.622    3.193   -3.172   -1.944    1.997   -0.473    0.506    0.686   -0.646 
4290.318   -1.530    1.581   -2.194    2.130   -2.597    2.642   -0.902    0.846 
4292.753   -0.445    0.400    0.823   -0.859   -1.605    1.538    3.370   -3.379 
4306.385   -1.391    1.411   -2.325    2.353    2.290   -2.261    1.470   -1.455 
4283.498   -0.107    0.090   -0.360    0.320   -3.567    3.565    1.333   -1.384 
4289.210    1.573   -1.633    0.701   -0.660    1.091   -1.144    3.246   -3.214 
4293.590   -2.065    2.006    3.230   -3.241   -0.125    0.092    0.346   -0.383 
4305.936   -2.835    2.841   -1.944    1.905    0.834   -0.836    1.500   -1.536 
4281.651    0.013   -0.022    1.211   -1.151    3.549   -3.546   -0.812    0.858 
4290.701    0.941   -0.861   -2.987    3.003    0.516   -0.445   -2.158    2.184 
4291.954    2.497   -2.520   -0.946    0.998    0.904   -0.922    2.604   -2.563 
4306.098   -2.765    2.773   -1.864    1.836    1.011   -1.007    1.612   -1.644 
4288.708    1.063   -1.017   -1.218    1.263    1.888   -1.824   -2.923    2.956 
4290.274   -2.219    2.195    2.638   -2.649    1.317   -1.337   -1.067    1.058 
4295.412    1.918   -1.963    1.117   -1.046    2.526   -2.556    1.861   -1.807 
4306.326   -2.222    2.265   -2.261    2.234    1.758   -1.752    1.263   -1.254 
4293.512   -2.224    2.234    1.509   -1.516    1.586   -1.574   -2.248    2.234 
4296.615   -2.326    2.356   -1.220    1.143   -2.765    2.788   -0.461    0.388 
4296.964    1.244   -1.177   -2.515    2.540    0.490   -0.411   -2.583    2.598 
4311.301   -1.682    1.695   -2.166    2.176    2.094   -2.087    1.693   -1.684 
4282.752   -0.024    0.055    0.369   -0.323    3.241   -3.210   -2.012    2.067 
4291.956   -1.980    1.918    3.200   -3.223    0.104   -0.158    0.768   -0.797 
4293.560    2.040   -2.086    0.546   -0.493    1.658   -1.711    2.745   -2.689 
4307.257    2.584   -2.599    2.028   -1.994   -1.192    1.199   -1.598    1.610 
4287.122   -0.230    0.283   -2.920    2.943    1.261   -1.205   -2.116    2.128 
4289.379    2.726   -2.715   -1.858    1.876   -0.772    0.758    1.826   -1.788 
4291.216    2.287   -2.263    1.490   -1.460    2.580   -2.600   -0.771    0.851 
4304.388    1.453   -1.423    0.654   -0.663   -2.406    2.464   -2.529    2.496 
4287.793   -1.166    1.122    2.997   -2.973    2.042   -2.092   -0.474    0.492 
4292.233    3.096   -3.132    0.681   -0.615    1.178   -1.218    1.819   -1.750 
4297.198   -0.965    0.903    1.562   -1.611   -2.247    2.187    2.520   -2.567 
4310.076    1.702   -1.686    1.692   -1.706   -2.033    2.033   -2.210    2.213 
4290.717   -2.623    2.659   -1.360    1.338   -0.111    0.172   -2.457    2.404 
4292.756   -0.565    0.558    2.709   -2.693    2.451   -2.476   -1.025    1.054 
4295.454    1.936   -1.886   -2.114    2.156    2.356   -2.331   -0.991    1.059 
4307.826    1.975   -1.927    1.024   -1.033   -1.767    1.795   -2.588    2.599 
4285.273   -3.183    3.217    0.275   -0.322    0.086   -0.048   -2.123    2.055 
4291.269   -0.422    0.447   -2.341    2.294   -3.004    3.036    0.220   -0.272 
4296.663    1.310   -1.239   -2.400    2.441    1.527   -1.456   -2.231    2.268 
4308.586    1.643   -1.618    1.844   -1.864   -1.845    1.843   -2.293    2.299 
4282.088    3.214   -3.224   -0.633    0.678   -0.115    0.097    1.997   -1.941 
4290.941    1.524   -1.448   -1.778    1.808    0.596   -0.523   -2.981    3.014 
4291.636   -0.764    0.794   -2.249    2.190   -2.998    3.024    0.354   -0.406 
4306.813   -1.220    1.232   -2.472    2.502    2.332   -2.302    1.308   -1.303 
4291.331   -1.063    1.038    2.615   -2.596    2.426   -2.449   -0.951    0.971 
4294.487    1.934   -1.883   -1.901    1.962    2.374   -2.327   -1.328    1.392 
4296.732   -2.469    2.519   -1.412    1.373   -0.541    0.600   -2.531    2.484 
4310.071    1.957   -1.944    1.514   -1.512   -1.711    1.729   -2.392    2.393 
4284.454   -1.427    1.379    3.091   -3.076    1.733   -1.779   -0.376    0.381 
4287.640   -3.168    3.197   -0.893    0.827   -1.316    1.354   -1.470    1.396 
4295.387   -0.497    0.438    1.483   -1.531   -2.526    2.466    2.438   -2.480 
4307.016   -1.562    1.534   -1.468    1.487    1.908   -1.913    2.550   -2.560 
4293.486    0.615   -0.629   -0.934    0.901   -2.670    2.641    2.537   -2.557 
4294.393   -3.037    3.010    2.099   -2.158   -0.727    0.681    0.746   -0.785 
4296.497   -1.322    1.382   -1.751    1.698   -2.011    2.060   -2.433    2.392 
