  frez       Ax       Bx       By       Cy       Cx      Dx        Dy       Ay
4284.713    1.821   -1.804   -0.832    0.878    3.258   -3.263   -0.118    0.190 
4286.355   -2.535    2.569    0.759   -0.791    1.524   -1.502   -2.317    2.294 
4293.338    0.522   -0.438   -2.890    2.859   -1.102    1.150   -2.230    2.234 
4304.327    2.159   -2.172    2.295   -2.245   -0.692    0.706   -2.088    2.112 
4284.057   -2.779    2.731    2.363   -2.406    0.768   -0.802   -0.919    0.871 
4288.554   -1.692    1.729   -1.445    1.373   -2.930    2.957   -1.091    1.034 
4294.324    0.041   -0.118    1.759   -1.788   -1.944    1.882    2.801   -2.835 
4306.684    2.056   -2.036    1.976   -1.976   -1.340    1.326   -2.193    2.228 
4278.311    3.410   -3.400   -1.218    1.274   -0.132    0.134    1.254   -1.186 
4287.174   -0.837    0.894   -2.770    2.721   -2.423    2.477   -0.669    0.621 
4293.378   -0.537    0.465    1.483   -1.527   -2.257    2.190    2.680   -2.719 
4305.501   -1.446    1.426   -1.822    1.844    1.943   -1.940    2.354   -2.360 
4286.802   -2.291    2.285    2.233   -2.262    0.533   -0.527   -2.058    2.017 
4288.721    0.099   -0.194    2.697   -2.681   -0.401    0.335    2.703   -2.709 
4295.877   -1.652    1.657   -0.678    0.613   -3.388    3.405    0.232   -0.308 
4307.826    2.604   -2.598    1.435   -1.404   -1.668    1.684   -1.771    1.793 
4282.459   -0.536    0.570   -2.527    2.462   -2.824    2.869    0.145   -0.205 
4287.219    2.488   -2.531    0.189   -0.176   -0.504    0.453    2.871   -2.839 
4293.073    2.646   -2.610   -1.670    1.719    0.878   -0.815   -2.041    2.075 
4304.859   -1.095    1.094   -2.339    2.390    2.398   -2.360    1.519   -1.509 
4270.030   -0.133    0.126   -0.651    0.588   -3.629    3.624    0.985   -1.052 
4285.742   -3.215    3.201    1.790   -1.843   -0.465    0.453   -0.978    0.926 
4288.841    0.266   -0.348    2.263   -2.249    0.418   -0.502    3.058   -3.047 
4301.589   -2.067    2.084   -2.453    2.427    1.007   -1.007    1.852   -1.862 
4282.583    1.892   -1.822   -3.130    3.167   -0.386    0.457   -1.053    1.078 
4283.442   -1.238    1.271    0.391   -0.406    0.542   -0.507   -3.568    3.553 
4294.308    2.524   -2.547    1.323   -1.240    2.557   -2.557   -0.344    0.403 
4305.631   -1.799    1.819   -1.718    1.735    2.803   -2.777    0.852   -0.842 
4281.697   -2.157    2.108    2.726   -2.731    1.599   -1.673   -0.034    0.050 
4286.711   -2.171    2.186   -0.093   -0.007   -2.743    2.723    1.547   -1.599 
4295.343   -1.754    1.810   -1.229    1.189   -0.341    0.414   -3.182    3.136 
4307.024   -1.469    1.519   -2.412    2.409    2.106   -2.102    1.531   -1.492 
4280.362    0.144   -0.111   -3.217    3.199   -2.054    2.110    0.136   -0.175 
4288.748    1.189   -1.143   -1.815    1.878    2.838   -2.791   -1.388    1.450 
4292.497    3.316   -3.323    0.355   -0.333   -0.214    0.177    1.914   -1.865 
4305.797   -1.550    1.509   -0.912    0.923    1.533   -1.569    3.031   -3.026 
4277.786    1.058   -1.012   -1.933    1.974    1.215   -1.128   -2.887    2.897 
4279.796    0.886   -0.854   -2.932    2.907   -1.668    1.683    1.597   -1.612 
4292.369    3.177   -3.209    0.789   -0.720    1.526   -1.559    1.293   -1.229 
4301.167    1.626   -1.653    1.317   -1.321   -2.842    2.872   -1.488    1.427 
4276.713    1.271   -1.221   -3.534    3.546   -0.717    0.767   -0.068    0.073 
4283.479    2.104   -2.082    0.145   -0.078    3.082   -3.073   -0.859    0.940 
4287.334    2.774   -2.805    1.237   -1.228   -1.424    1.381    1.859   -1.843 
4303.102   -0.996    0.966   -0.749    0.753    1.617   -1.668    3.256   -3.232 
4286.891    0.024   -0.003    1.880   -1.848    2.933   -2.924   -1.603    1.662 
4289.864   -0.780    0.826   -2.947    2.987    0.717   -0.626   -2.193    2.192 
4293.995    3.443   -3.409   -1.148    1.195    1.098   -1.094    0.702   -0.630 
